disease,compound_groundTruth,disease_groundTruth,text,llm_answer,context_volume
adrenal gland disease,"['1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone', 'Trilostane', 'Osilodrostat']","['familial male-limited precocious puberty', 'histoplasmosis', 'kidney cortex necrosis', 'Froelich syndrome', ""Conn's syndrome"", 'hypopituitarism', 'central precocious puberty', 'Alpers-Huttenlocher syndrome', 'primary hyperaldosteronism', 'Balo concentric sclerosis', 'hypothalamic disease', 'Carney complex', 'Beckwith-Wiedemann syndrome', 'Sheehan syndrome', 'inherited metabolic disorder', 'xanthomatosis', 'adrenal cortex cancer', 'parathyroid gland disease', 'ovarian disease', 'American histoplasmosis', 'endocrine system disease', 'adrenal cortex disease', 'antiphospholipid syndrome', 'Waterhouse-Friderichsen syndrome', 'adrenal gland hyperfunction', ""Addison's disease"", 'male reproductive system disease', 'hypertrichosis', 'Wolman disease', 'disorder of sexual development', 'hermaphroditism', 'purpura fulminans', 'pseudohermaphroditism', 'hematocele of tunica vaginalis testis']",What compounds treat 'adrenal gland disease' and what diseases resemble 'adrenal gland disease'?,"{""Compounds"":[""Trilostane"", ""1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone"", ""Osilodrostat""], ""Diseases"":[""endocrine system disease"", ""primary hyperaldosteronism"", ""adrenal gland hyperfunction"", ""antiphospholipid syndrome"", ""adrenal cortex disease"", ""male reproductive system disease"", ""inherited metabolic disorder"", ""adrenal cortex cancer"", ""hypopituitarism"", ""hypothalamic disease"", ""disorder of sexual development"", ""parathyroid gland disease"", ""histoplasmosis"", ""xanthomatosis"", ""Addison's disease"", ""pseudohermaphroditism"", ""Conn's syndrome"", ""ovarian disease"", ""Waterhouse-Friderichsen syndrome"", ""American histoplasmosis"", ""central precocious puberty"", ""Sheehan syndrome"", ""kidney cortex necrosis""]}",200
agammaglobulinemia,"['GLOBULIN, IMMUNE']","['leukopenia', 'meningoencephalitis', 'blood protein disease', 'dysgammaglobulinemia', 'lymphopenia', 'Wiskott-Aldrich syndrome', 'campylobacteriosis', 'selective IgA deficiency disease', 'ataxia telangiectasia', 'tropical sprue', 'thymic carcinoma', 'chronic granulomatous disease', 'immunoglobulin alpha deficiency', 'pure red-cell aplasia', 'pyoderma', 'telangiectasis', 'giardiasis', 'X-linked hyper IgM syndrome', 'X-linked severe combined immunodeficiency', 'hyperglobulinemic purpura', 'vaccinia', 'ecthyma', 'severe combined immunodeficiency', 'polyarteritis nodosa', 'hypersplenism', 'protein-losing enteropathy', 'lymphoplasmacytic lymphoma', 'thymus cancer', 'collagen disease', 'pneumocystosis', 'agranulocytosis', 'autoimmune hemolytic anemia', 'MHC class II deficiency', 'pernicious anemia', 'thymoma', 'septic arthritis', 'selective IgG deficiency disease']",What compounds treat 'agammaglobulinemia' and what diseases resemble 'agammaglobulinemia'?,"{""Compounds"":[""GLOBULIN, IMMUNE""], ""Diseases"":[""severe combined immunodeficiency"", ""chronic granulomatous disease"", ""dysgammaglobulinemia"", ""X-linked hyper IgM syndrome"", ""immunoglobulin alpha deficiency"", ""bronchiectasis"", ""X-linked severe combined immunodeficiency"", ""autoimmune hemolytic anemia"", ""hyperglobulinemic purpura"", ""MHC class II deficiency"", ""leukopenia"", ""campylobacteriosis"", ""pure red-cell aplasia"", ""thymus cancer"", ""selective IgG deficiency disease"", ""selective IgA deficiency disease"", ""blood protein disease"", ""common variable immunodeficiency"", ""lymphopenia"", ""pyoderma"", ""septic arthritis"", ""vaccinia"", ""pernicious anemia"", ""thymoma"", ""ataxia telangiectasia"", ""collagen disease"", ""ecthyma"", ""thymic carcinoma"", ""hypersplenism"", ""agranulocytosis"", ""Wiskott-Aldrich syndrome"", ""polyarteritis nodosa""]}",200
alopecia,"['Sodium Chloride', 'Dutasteride', 'Finasteride', 'Minoxidil']","['folliculitis', 'monilethrix', 'leukopenia', 'anhidrosis', 'hypotrichosis', 'hypogonadism', 'Vogt-Koyanagi-Harada disease', 'facial dermatosis', 'X-linked ichthyosis', 'hair disease', 'anodontia', 'tinea favosa', 'lichen planus', 'Clouston syndrome', 'X-linked dominant hypophosphatemic rickets', 'Netherton syndrome', 'hypohidrosis', 'neurodermatitis', 'seborrheic infantile dermatitis', 'tinea capitis', 'optic atrophy', 'keratosis follicularis', 'follicular mucinosis', 'ichthyosis', 'skin disease', 'hypomelanosis of Ito', 'mucinoses', 'nail disease', 'ectodermal dysplasia', 'scalp dermatosis', 'parapsoriasis', 'seborrheic dermatitis', 'localized scleroderma', 'alopecia areata', 'hypertrichosis', 'Hallermann-Streiff syndrome', 'keratosis', 'scleroderma', 'vitiligo', 'tooth agenesis', 'mycosis fungoides', 'hyperandrogenism']",What compounds treat 'alopecia' and what diseases resemble 'alopecia'?,"{""Compounds"":[""Minoxidil"", ""Dutasteride"", ""Finasteride"", ""Sodium Chloride""], ""Diseases"":[""alopecia areata"", ""hypohidrosis"", ""skin disease"", ""facial dermatosis"", ""anhidrosis"", ""anodontia"", ""seborrheic dermatitis"", ""ichthyosis"", ""hyperandrogenism"", ""X-linked ichthyosis"", ""lichen planus"", ""vitiligo"", ""hair disease"", ""androgenic alopecia"", ""leukopenia"", ""X-linked dominant hypophosphatemic rickets"", ""scleroderma"", ""hypogonadism"", ""monilethrix"", ""seborrheic infantile dermatitis"", ""folliculitis"", ""ectodermal dysplasia"", ""hypertrichosis"", ""scalp dermatosis"", ""tinea capitis"", ""follicular mucinosis"", ""mycosis fungoides"", ""hypotrichosis"", ""keratosis"", ""parapsoriasis"", ""Netherton syndrome"", ""optic atrophy"", ""localized scleroderma"", ""neurodermatitis"", ""tinea favosa"", ""keratosis follicularis"", ""tooth agenesis"", ""nail disease"", ""mucinoses"", ""Hallermann-Streiff syndrome"", ""hypomelanosis of Ito""]}",200
alopecia areata,"['Deuruxolitinib', 'Clobetasol Propionate', '2-Propen-1-one, 1-[(2S,5R)-2-methyl-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-1-piperidinyl]-', 'Hydrocortisone', 'Methotrexate', 'Baricitinib', 'GARLIC']","['seborrheic dermatitis', 'follicular mucinosis', 'folliculitis', 'alopecia', 'hidradenitis suppurativa', 'hypertrichosis', 'hypomelanosis of Ito', 'loose anagen hair syndrome', 'nail disease', 'neurodermatitis', 'hair disease', 'vitiligo', 'scalp dermatosis', 'lichen planus', 'tinea capitis', 'autoimmune polyendocrine syndrome']",What compounds treat 'alopecia areata' and what diseases resemble 'alopecia areata'?,"{""Compounds"":[""Hydrocortisone"", ""Methotrexate"", ""GARLIC"", ""Baricitinib"", ""Triamcinolone diacetate"", ""Triamcinolone hexacetonide"", ""2-Propen-1-one, 1-[(2S,5R)-2-methyl-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-1-piperidinyl]-"", ""Clobetasol Propionate"", ""Deuruxolitinib""], ""Diseases"":[""alopecia"", ""seborrheic dermatitis"", ""hair disease"", ""scalp dermatosis"", ""lichen planus"", ""vitiligo"", ""folliculitis"", ""hypertrichosis"", ""autoimmune polyendocrine syndrome"", ""diffuse alopecia areata"", ""follicular mucinosis"", ""tinea capitis""]}",200
alpha thalassemia,['Pkr-IN-1'],"['hemoglobinopathy', 'hypochromic anemia', 'hereditary elliptocytosis', 'hereditary spherocytosis', 'glucosephosphate dehydrogenase deficiency']",What compounds treat 'alpha thalassemia' and what diseases resemble 'alpha thalassemia'?,"{""Compounds"":[""Pkr-IN-1""], ""Diseases"":[""thalassemia"", ""beta thalassemia"", ""hemoglobinopathy"", ""sickle cell anemia"", ""hypochromic anemia"", ""hereditary spherocytosis""]}",200
alpha-mannosidosis,['VELMANASE ALFA'],"['mucopolysaccharidosis', 'lysosomal storage disease', 'fundus dystrophy', 'fucosidosis']",What compounds treat 'alpha-mannosidosis' and what diseases resemble 'alpha-mannosidosis'?,"{""Compounds"":[""VELMANASE ALFA""], ""Diseases"":[""mucopolysaccharidosis"", ""fucosidosis"", ""fundus dystrophy"", ""lysosomal storage disease""]}",200
angioedema,"['Dexchlorpheniramine', 'Clemastine', 'OMALIZUMAB', 'Cortisone acetate', 'LANADELUMAB', 'HUMAN C1-ESTERASE INHIBITOR', 'Sodium Chloride', 'Icatibant', 'Carbinoxamine', 'Epinephrine']","['Melkersson-Rosenthal syndrome', 'orbital disease', 'tongue disease', 'fissured tongue', 'facial dermatosis', 'urticaria', 'lip disease', 'hereditary angioedema', 'loiasis', 'chronic urticaria', 'eyelid disease']",What compounds treat 'angioedema' and what diseases resemble 'angioedema'?,"{""Compounds"":[""Betamethasone"", ""Carbinoxamine"", ""Prednisone"", ""Epinephrine"", ""Repeltin"", ""HUMAN C1-ESTERASE INHIBITOR"", ""Dexamethasone"", ""Hydrocortisone"", ""Betamethasone acetate"", ""Clemastine"", ""Prednisolone"", ""Triamcinolone"", ""Methdilazine"", ""Sodium Chloride"", ""Triamcinolone Acetonide"", ""OMALIZUMAB"", ""Hydrocortisone acetate"", ""Dexchlorpheniramine"", ""LANADELUMAB"", ""Trimeprazine"", ""Triamcinolone diacetate"", ""Methylprednisolone"", ""Promazine"", ""Pecazine"", ""Icatibant"", ""Dexamethasone phosphate""], ""Diseases"":[]}",200
atypical hemolytic-uremic syndrome,"['RAVULIZUMAB', 'CROVALIMAB', 'Iptacopan', 'ECULIZUMAB', 'NARSOPLIMAB']","['plasma cell neoplasm', 'HELLP syndrome', 'paroxysmal nocturnal hemoglobinuria', 'membranoproliferative glomerulonephritis', 'thrombotic thrombocytopenic purpura', 'IgA glomerulonephritis', 'hemoglobinuria', 'hemolytic-uremic syndrome', 'hemolytic anemia', 'malignant hypertension']",What compounds treat 'atypical hemolytic-uremic syndrome' and what diseases resemble 'atypical hemolytic-uremic syndrome'?,"{""Compounds"":[""ECULIZUMAB"", ""Iptacopan"", ""RAVULIZUMAB"", ""CROVALIMAB"", ""NARSOPLIMAB""], ""Diseases"":[""hemolytic anemia"", ""hemolytic-uremic syndrome"", ""hemoglobinuria"", ""malignant hypertension"", ""membranoproliferative glomerulonephritis"", ""thrombotic thrombocytopenic purpura""]}",200
azoospermia,"['Gabapentin', 'Letrozole', 'UROFOLLITROPIN', '2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine']","['Klinefelter syndrome', 'male reproductive system disease', 'primary ovarian insufficiency', 'Sertoli cell-only syndrome', 'adrenal rest tumor', 'hypogonadism', 'spermatocele', 'orchitis', 'varicocele', 'testicular disease', 'oligospermia', 'cryptorchidism', 'spermatogenic failure 6']",What compounds treat 'azoospermia' and what diseases resemble 'azoospermia'?,"{""Compounds"":[""Letrozole"", ""Gabapentin"", ""2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine"", ""UROFOLLITROPIN""], ""Diseases"":[""oligospermia"", ""male reproductive system disease"", ""orchitis"", ""testicular disease"", ""hypogonadism"", ""spermatocele"", ""primary ovarian insufficiency"", ""Klinefelter syndrome"", ""cryptorchidism"", ""spermatogenic failure 6"", ""varicocele"", ""Sertoli cell-only syndrome""]}",200
bone marrow cancer,"['Hydroxyurea', 'Methotrexate', 'Etoposide', 'Ruxolitinib', 'Mitoxantrone', 'Tretinoin', 'Valspodar', 'Amphotericin B', 'Daunorubicin', 'Idarubicin', 'Thioguanine', 'Decitabine', 'Fludarabine phosphate', 'FILGRASTIM', 'Hydrocortisone', 'Cytarabine', 'Nystatin A1', 'LUSPATERCEPT', 'Anagrelide', 'ASPARAGINASE']","['myeloid sarcoma', 'erythromelalgia', 'myelophthisic anemia', 'aggressive systemic mastocytosis', 'immunodeficiency 21', 'atypical chronic myeloid leukemia, BCR-ABL1 negative', 'blood platelet disease', 'acute megakaryocytic leukemia', 'juvenile myelomonocytic leukemia', 'essential thrombocythemia', 'systemic mastocytosis', 'thrombocytosis', 'sideroblastic anemia', 'myelodysplastic/myeloproliferative neoplasm', 'polycythemia vera', 'indolent systemic mastocytosis', ""von Willebrand's disease"", 'bone marrow disease', 'Budd-Chiari syndrome', 'myelofibrosis', 'hypersensitivity reaction type IV disease', 'polycythemia', 'Noonan syndrome', 'osteosclerosis', 'splenic disease', 'mastocytosis']",What compounds treat 'bone marrow cancer' and what diseases resemble 'bone marrow cancer'?,"{""Compounds"":[""Mitoxantrone"", ""Cytarabine"", ""Hydroxyurea"", ""Amphotericin B"", ""Etoposide"", ""Tretinoin"", ""Methotrexate"", ""Hydrocortisone"", ""Nystatin A1"", ""Decitabine"", ""Thioguanine"", ""Daunorubicin"", ""Idarubicin"", ""Fludarabine phosphate"", ""Anagrelide"", ""ASPARAGINASE"", ""Ruxolitinib"", ""FILGRASTIM"", ""Valspodar"", ""LUSPATERCEPT""], ""Diseases"":[""myelodysplastic/myeloproliferative neoplasm"", ""osteosclerosis"", ""bone marrow disease"", ""myelofibrosis"", ""myeloid sarcoma""]}",200
brain cancer,"['Dianhydrogalactitol', 'Methotrexate', 'Magnesium Sulfate Heptahydrate', 'azane;dichloroplatinum', 'Tucatinib', 'Prednicarbate', 'Metformin', '2-Mercaptoethanesulfonic acid', 'Memantine', 'Tranexamic acid', 'Thioguanine', 'Dactinomycin', 'Thiotepa', 'Procarbazine', 'Motexafin', 'Modafinil', 'Methylprednisolone acetate', 'FILGRASTIM', 'Vincristine', 'Methylphenidate', 'Leucovorin']","['glioblastoma', 'mixed glioma', 'giant cell glioblastoma', 'high grade glioma']",What compounds treat 'brain cancer' and what diseases resemble 'brain cancer'?,"{""Compounds"":[""Temozolomide"", ""Metformin"", ""BEVACIZUMAB"", ""1,1-Cyclobutanedicarboxylic acid"", ""Isotretinoin"", ""Cyclophosphamide"", ""Etoposide"", ""NIVOLUMAB"", ""Doxorubicin"", ""Methylphenidate"", ""Tranexamic acid"", ""PEMBROLIZUMAB"", ""Vincristine"", ""Methotrexate"", ""Procarbazine"", ""Thioguanine"", ""2-Mercaptoethanesulfonic acid"", ""Irinotecan"", ""Tucatinib"", ""Leucovorin"", ""Prednicarbate"", ""Dactinomycin"", ""Memantine"", ""Dianhydrogalactitol"", ""Thiotepa"", ""Motexafin"", ""Lomustine"", ""Modafinil"", ""azane;dichloroplatinum"", ""Magnesium Sulfate Heptahydrate"", ""FILGRASTIM"", ""Methylprednisolone acetate""], ""Diseases"":[""glioblastoma"", ""central nervous system cancer"", ""brain disease"", ""high grade glioma"", ""mixed glioma"", ""brain glioma"", ""brain sarcoma""]}",200
bronchial disease,"['Theobromine', 'Acebrophylline', 'Levodropropizine', 'SYRUP', 'Azithromycin']","['pleural disease', 'bronchiolitis', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'chondromalacia', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'lymph node tuberculosis', 'granulomatosis with polyangiitis', 'tuberculosis', 'bagassosis', 'relapsing polychondritis', 'rhinoscleroma', 'tracheitis', 'trachea leiomyoma', 'bronchitis', 'anthracosis', 'laryngeal disease', 'bronchopneumonia', 'tracheal stenosis', 'actinomycosis', 'bronchus carcinoma', 'bronchiectasis', 'geotrichosis', 'mucormycosis', 'lung abscess', 'Melnick-Needles syndrome', 'esophageal disease', 'tracheal disease', 'Cor pulmonale', 'pulmonary plasma cell granuloma', 'laryngeal tuberculosis', 'pneumoconiosis', 'cartilage disease', 'lingual-facial-buccal dyskinesia']",What compounds treat 'bronchial disease' and what diseases resemble 'bronchial disease'?,"{""Compounds"":[""Theobromine"", ""Acebrophylline"", ""SYRUP"", ""Levodropropizine""], ""Diseases"":[""bronchiectasis"", ""bronchitis"", ""bronchiolitis"", ""bronchopneumonia"", ""tuberculosis"", ""bronchus carcinoma"", ""Cor pulmonale"", ""esophageal disease"", ""allergic bronchopulmonary aspergillosis"", ""cartilage disease"", ""mucormycosis"", ""tracheal disease"", ""middle lobe syndrome"", ""tracheitis""]}",200
bronchiectasis,"['Ciprofloxacin', 'Carbocysteine', 'Sodium Chloride', 'BENRALIZUMAB', 'Roflumilast', 'Formoterol', 'Brensocatib', 'Beclomethasone dipropionate', 'Mannitol', 'colistimethate sodium', 'Azithromycin']","['Kartagener syndrome', 'bronchiolitis', 'Mycobacterium avium complex disease', 'agammaglobulinemia', 'tuberculous empyema', 'dysgammaglobulinemia', 'secondary hypertrophic osteoarthropathy', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'pleurisy', 'dextrocardia', 'telangiectasis', 'chronic mucocutaneous candidiasis', 'bronchitis', 'situs inversus', 'primary ciliary dyskinesia', 'common variable immunodeficiency', 'selective IgG deficiency disease', 'bronchopneumonia', 'bronchus carcinoma', 'oligospermia', 'alpha 1-antitrypsin deficiency', 'bronchiolitis obliterans', 'lung abscess', 'yellow nail syndrome', 'lipid pneumonia', 'tracheal disease', 'Cor pulmonale', 'bronchial disease', 'hyperlucent lung', 'nocardiosis', 'ataxia telangiectasia']",What compounds treat 'bronchiectasis' and what diseases resemble 'bronchiectasis'?,"{""Compounds"":[""Brensocatib"", ""Beclomethasone dipropionate"", ""Pirbuterol"", ""Sodium Chloride"", ""Acetylcysteine"", ""Ciprofloxacin"", ""Roflumilast"", ""Bitolterol"", ""Norepinephrine"", ""Epinephrine"", ""Carbocysteine"", ""BENRALIZUMAB"", ""Formoterol"", ""Cysteine"", ""Mannitol"", ""Binodrenal"", ""colistimethate sodium"", ""Adrenaline bitartrate""], ""Diseases"":[""bronchial disease"", ""alpha 1-antitrypsin deficiency"", ""bronchitis"", ""bronchiolitis"", ""bronchopneumonia"", ""bronchiolitis obliterans"", ""bronchus carcinoma"", ""Mycobacterium avium complex disease"", ""Cor pulmonale"", ""allergic bronchopulmonary aspergillosis"", ""primary ciliary dyskinesia"", ""chronic mucocutaneous candidiasis"", ""oligospermia"", ""common variable immunodeficiency"", ""nocardiosis"", ""agammaglobulinemia"", ""dextrocardia"", ""tracheal disease"", ""pleurisy"", ""dysgammaglobulinemia"", ""lung abscess"", ""secondary hypertrophic osteoarthropathy"", ""hyperlucient lung"", ""bronchial benign neoplasm"", ""selective IgG deficiency disease"", ""middle lobe syndrome"", ""telangiectasis"", ""ataxia telangiectasia""]}",200
