disease,compound_groundTruth,disease_groundTruth,text,llm_answer,context_volume
adrenal gland disease,"['1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone', 'Trilostane', 'Osilodrostat']","['familial male-limited precocious puberty', 'histoplasmosis', 'kidney cortex necrosis', 'Froelich syndrome', ""Conn's syndrome"", 'hypopituitarism', 'central precocious puberty', 'Alpers-Huttenlocher syndrome', 'primary hyperaldosteronism', 'Balo concentric sclerosis', 'hypothalamic disease', 'Carney complex', 'Beckwith-Wiedemann syndrome', 'Sheehan syndrome', 'inherited metabolic disorder', 'xanthomatosis', 'adrenal cortex cancer', 'parathyroid gland disease', 'ovarian disease', 'American histoplasmosis', 'endocrine system disease', 'adrenal cortex disease', 'antiphospholipid syndrome', 'Waterhouse-Friderichsen syndrome', 'adrenal gland hyperfunction', ""Addison's disease"", 'male reproductive system disease', 'hypertrichosis', 'Wolman disease', 'disorder of sexual development', 'hermaphroditism', 'purpura fulminans', 'pseudohermaphroditism', 'hematocele of tunica vaginalis testis']",What compounds treat 'adrenal gland disease' and what diseases resemble 'adrenal gland disease'?,"{""Compounds"":[""Trilostane"", ""Osilodrostat"", ""1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone""], ""Diseases"":[""Wolman disease"", ""Addison's disease"", ""antiphospholipid syndrome"", ""Carney complex"", ""hypothalamic disease"", ""Waterhouse-Friderichsen syndrome"", ""ovarian disease"", ""parathyroid gland disease"", ""purpura fulminans"", ""xanthomatosis"", ""pseudohermaphroditism"", ""hypertrichosis""]}",100
agammaglobulinemia,"['GLOBULIN, IMMUNE']","['leukopenia', 'meningoencephalitis', 'blood protein disease', 'dysgammaglobulinemia', 'lymphopenia', 'Wiskott-Aldrich syndrome', 'campylobacteriosis', 'selective IgA deficiency disease', 'ataxia telangiectasia', 'tropical sprue', 'thymic carcinoma', 'chronic granulomatous disease', 'immunoglobulin alpha deficiency', 'pure red-cell aplasia', 'pyoderma', 'telangiectasis', 'giardiasis', 'X-linked hyper IgM syndrome', 'X-linked severe combined immunodeficiency', 'hyperglobulinemic purpura', 'vaccinia', 'ecthyma', 'severe combined immunodeficiency', 'polyarteritis nodosa', 'hypersplenism', 'protein-losing enteropathy', 'lymphoplasmacytic lymphoma', 'thymus cancer', 'collagen disease', 'pneumocystosis', 'agranulocytosis', 'autoimmune hemolytic anemia', 'MHC class II deficiency', 'pernicious anemia', 'thymoma', 'septic arthritis', 'selective IgG deficiency disease']",What compounds treat 'agammaglobulinemia' and what diseases resemble 'agammaglobulinemia'?,"{""Compounds"":[""GLOBULIN, IMMUNE""], ""Diseases"":[""blood protein disease"", ""leukopenia"", ""chronic granulomatous disease"", ""hyperglobulinemic purpura"", ""Wiskott-Aldrich syndrome"", ""collagen disease"", ""polyarteritis nodosa"", ""hypersplenism"", ""autoimmune hemolytic anemia"", ""severe combined immunodeficiency"", ""pyoderma"", ""MHC class II deficiency"", ""septic arthritis"", ""lymphopenia"", ""dysgammaglobulinemia"", ""vaccinia"", ""immunoglobulin alpha deficiency"", ""agranulocytosis"", ""tropical sprue"", ""thymoma"", ""bronchiectasis""]}",100
alopecia,"['Sodium Chloride', 'Dutasteride', 'Finasteride', 'Minoxidil']","['folliculitis', 'monilethrix', 'leukopenia', 'anhidrosis', 'hypotrichosis', 'hypogonadism', 'Vogt-Koyanagi-Harada disease', 'facial dermatosis', 'X-linked ichthyosis', 'hair disease', 'anodontia', 'tinea favosa', 'lichen planus', 'Clouston syndrome', 'X-linked dominant hypophosphatemic rickets', 'Netherton syndrome', 'hypohidrosis', 'neurodermatitis', 'seborrheic infantile dermatitis', 'tinea capitis', 'optic atrophy', 'keratosis follicularis', 'follicular mucinosis', 'ichthyosis', 'skin disease', 'hypomelanosis of Ito', 'mucinoses', 'nail disease', 'ectodermal dysplasia', 'scalp dermatosis', 'parapsoriasis', 'seborrheic dermatitis', 'localized scleroderma', 'alopecia areata', 'hypertrichosis', 'Hallermann-Streiff syndrome', 'keratosis', 'scleroderma', 'vitiligo', 'tooth agenesis', 'mycosis fungoides', 'hyperandrogenism']",What compounds treat 'alopecia' and what diseases resemble 'alopecia'?,"{""Compounds"":[""Finasteride"", ""Minoxidil"", ""Dutasteride"", ""Sodium Chloride""], ""Diseases"":[""alopecia areata"", ""scalp dermatosis"", ""hair disease"", ""follicular mucinosis"", ""seborrheic dermatitis"", ""hypotrichosis"", ""skin disease"", ""hypohidrosis"", ""hyperandrogenism"", ""keratosis"", ""monilethrix"", ""leukopenia"", ""anhidrosis"", ""mucinoses"", ""tinea favosa"", ""ichthyosis"", ""folliculitis"", ""hypogonadism"", ""parapsoriasis""]}",100
alopecia areata,"['Deuruxolitinib', 'Clobetasol Propionate', '2-Propen-1-one, 1-[(2S,5R)-2-methyl-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-1-piperidinyl]-', 'Hydrocortisone', 'Methotrexate', 'Baricitinib', 'GARLIC']","['seborrheic dermatitis', 'follicular mucinosis', 'folliculitis', 'alopecia', 'hidradenitis suppurativa', 'hypertrichosis', 'hypomelanosis of Ito', 'loose anagen hair syndrome', 'nail disease', 'neurodermatitis', 'hair disease', 'vitiligo', 'scalp dermatosis', 'lichen planus', 'tinea capitis', 'autoimmune polyendocrine syndrome']",What compounds treat 'alopecia areata' and what diseases resemble 'alopecia areata'?,"{""Compounds"":[""Hydrocortisone"", ""GARLIC"", ""Triamcinolone hexacetonide"", ""Clobetasol Propionate"", ""Triamcinolone diacetate"", ""Methotrexate"", ""2-Propen-1-one, 1-[(2S,5R)-2-methyl-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-1-piperidinyl]-"", ""Baricitinib"", ""Deuruxolitinib""], ""Diseases"":[""alopecia"", ""diffuse alopecia areata"", ""hair disease"", ""scalp dermatosis"", ""follicular mucinosis"", ""seborrheic dermatitis"", ""autoimmune disease""]}",100
alpha thalassemia,['Pkr-IN-1'],"['hemoglobinopathy', 'hypochromic anemia', 'hereditary elliptocytosis', 'hereditary spherocytosis', 'glucosephosphate dehydrogenase deficiency']",What compounds treat 'alpha thalassemia' and what diseases resemble 'alpha thalassemia'?,"{""Compounds"":[""Pkr-IN-1""], ""Diseases"":[""thalassemia"", ""beta thalassemia"", ""hemoglobinopathy"", ""hypochromic anemia"", ""glucosephosphate dehydrogenase deficiency"", ""hereditary elliptocytosis"", ""hereditary spherocytosis""]}",100
alpha-mannosidosis,['VELMANASE ALFA'],"['mucopolysaccharidosis', 'lysosomal storage disease', 'fundus dystrophy', 'fucosidosis']",What compounds treat 'alpha-mannosidosis' and what diseases resemble 'alpha-mannosidosis'?,"{""Compounds"":[""VELMANASE ALFA""], ""Diseases"":[]}",100
angioedema,"['Dexchlorpheniramine', 'Clemastine', 'OMALIZUMAB', 'Cortisone acetate', 'LANADELUMAB', 'HUMAN C1-ESTERASE INHIBITOR', 'Sodium Chloride', 'Icatibant', 'Carbinoxamine', 'Epinephrine']","['Melkersson-Rosenthal syndrome', 'orbital disease', 'tongue disease', 'fissured tongue', 'facial dermatosis', 'urticaria', 'lip disease', 'hereditary angioedema', 'loiasis', 'chronic urticaria', 'eyelid disease']",What compounds treat 'angioedema' and what diseases resemble 'angioedema'?,"{""Compounds"":[""Icatibant"", ""Prednisolone"", ""Methylprednisolone hemisuccinate"", ""Clemastine"", ""Methylprednisolone"", ""HUMAN C1-ESTERASE INHIBITOR"", ""Dexchlorpheniramine"", ""Epinephrine"", ""Hydrocortisone acetate"", ""Hydrocortisone"", ""LANADELUMAB"", ""Dexamethasone"", ""Carbinoxamine"", ""Dexamethasone phosphate"", ""Methdilazine"", ""Hydrocortisone hemisuccinate"", ""Triamcinolone Acetonide"", ""Prednisone"", ""Promazine"", ""Pecazine"", ""OMALIZUMAB"", ""Cortisone acetate""], ""Diseases"":[]}",100
atypical hemolytic-uremic syndrome,"['RAVULIZUMAB', 'CROVALIMAB', 'Iptacopan', 'ECULIZUMAB', 'NARSOPLIMAB']","['plasma cell neoplasm', 'HELLP syndrome', 'paroxysmal nocturnal hemoglobinuria', 'membranoproliferative glomerulonephritis', 'thrombotic thrombocytopenic purpura', 'IgA glomerulonephritis', 'hemoglobinuria', 'hemolytic-uremic syndrome', 'hemolytic anemia', 'malignant hypertension']",What compounds treat 'atypical hemolytic-uremic syndrome' and what diseases resemble 'atypical hemolytic-uremic syndrome'?,"{""Compounds"":[""CROVALIMAB"", ""Iptacopan"", ""RAVULIZUMAB"", ""NARSOPLIMAB"", ""ECULIZUMAB""], ""Diseases"":[""hemolytic-uremic syndrome"", ""hemolytic anemia"", ""hemoglobinuria"", ""thrombotic thrombocytopenic purpura"", ""malignant hypertension"", ""membranoproliferative glomerulonephritis"", ""HELLP syndrome"", ""paroxysmal nocturnal hemoglobinuria"", ""plasma cell neoplasm"", ""IgA glomerulonephritis""]}",100
azoospermia,"['Gabapentin', 'Letrozole', 'UROFOLLITROPIN', '2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine']","['Klinefelter syndrome', 'male reproductive system disease', 'primary ovarian insufficiency', 'Sertoli cell-only syndrome', 'adrenal rest tumor', 'hypogonadism', 'spermatocele', 'orchitis', 'varicocele', 'testicular disease', 'oligospermia', 'cryptorchidism', 'spermatogenic failure 6']",What compounds treat 'azoospermia' and what diseases resemble 'azoospermia'?,"{""Compounds"":[""Letrozole"", ""Gabapentin"", ""UROFOLLITROPIN"", ""2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine""], ""Diseases"":[""oligospermia"", ""hypogonadism"", ""orchitis"", ""testicular disease"", ""male reproductive system disease"", ""adrenal rest tumor"", ""Klinefelter syndrome""]}",100
bone marrow cancer,"['Hydroxyurea', 'Methotrexate', 'Etoposide', 'Ruxolitinib', 'Mitoxantrone', 'Tretinoin', 'Valspodar', 'Amphotericin B', 'Daunorubicin', 'Idarubicin', 'Thioguanine', 'Decitabine', 'Fludarabine phosphate', 'FILGRASTIM', 'Hydrocortisone', 'Cytarabine', 'Nystatin A1', 'LUSPATERCEPT', 'Anagrelide', 'ASPARAGINASE']","['myeloid sarcoma', 'erythromelalgia', 'myelophthisic anemia', 'aggressive systemic mastocytosis', 'immunodeficiency 21', 'atypical chronic myeloid leukemia, BCR-ABL1 negative', 'blood platelet disease', 'acute megakaryocytic leukemia', 'juvenile myelomonocytic leukemia', 'essential thrombocythemia', 'systemic mastocytosis', 'thrombocytosis', 'sideroblastic anemia', 'myelodysplastic/myeloproliferative neoplasm', 'polycythemia vera', 'indolent systemic mastocytosis', ""von Willebrand's disease"", 'bone marrow disease', 'Budd-Chiari syndrome', 'myelofibrosis', 'hypersensitivity reaction type IV disease', 'polycythemia', 'Noonan syndrome', 'osteosclerosis', 'splenic disease', 'mastocytosis']",What compounds treat 'bone marrow cancer' and what diseases resemble 'bone marrow cancer'?,"{""Compounds"":[""Amphotericin B"", ""Anagrelide"", ""Methotrexate"", ""Hydrocortisone"", ""Cytarabine"", ""Hydroxyurea"", ""Fludarabine phosphate"", ""Thioguanine"", ""Daunorubicin"", ""Mitoxantrone"", ""Decitabine"", ""FILGRASTIM"", ""Idarubicin"", ""Etoposide"", ""Valspodar"", ""Tretinoin""], ""Diseases"":[""bone marrow disease"", ""myelofibrosis"", ""polycythemia vera"", ""myelodysplastic/myeloproliferative neoplasm"", ""myeloid sarcoma"", ""polycythemia"", ""erythromelalgia"", ""sideroblastic anemia"", ""acute megakaryocytic leukemia""]}",100
brain cancer,"['Dianhydrogalactitol', 'Methotrexate', 'Magnesium Sulfate Heptahydrate', 'azane;dichloroplatinum', 'Tucatinib', 'Prednicarbate', 'Metformin', '2-Mercaptoethanesulfonic acid', 'Memantine', 'Tranexamic acid', 'Thioguanine', 'Dactinomycin', 'Thiotepa', 'Procarbazine', 'Motexafin', 'Modafinil', 'Methylprednisolone acetate', 'FILGRASTIM', 'Vincristine', 'Methylphenidate', 'Leucovorin']","['glioblastoma', 'mixed glioma', 'giant cell glioblastoma', 'high grade glioma']",What compounds treat 'brain cancer' and what diseases resemble 'brain cancer'?,"{""Compounds"":[""1,1-Cyclobutanedicarboxylic acid"", ""Modafinil"", ""Lomustine"", ""Metformin"", ""Methylphenidate"", ""azane;dichloroplatinum"", ""Prednicarbate"", ""Leucovorin"", ""Memantine"", ""Procarbazine"", ""Vincristine"", ""Methylprednisolone acetate"", ""Thioguanine"", ""Thiotepa"", ""Temozolomide"", ""Tucatinib"", ""FILGRASTIM"", ""Doxorubicin"", ""Methotrexate"", ""Etoposide"", ""Cyclophosphamide"", ""Dactinomycin"", ""Irinotecan"", ""BEVACIZUMAB"", ""PEMBROLIZUMAB"", ""Dianhydrogalactitol"", ""2-Mercaptoethanesulfonic acid"", ""Motexafin"", ""NIVOLUMAB"", ""Tranexamic acid"", ""Isotretinoin"", ""Magnesium Sulfate Heptahydrate""], ""Diseases"":[""glioblastoma"", ""high grade glioma"", ""mixed glioma"", ""giant cell glioblastoma"", ""supratentorial cancer"", ""brain disease"", ""brain glioma"", ""infratentorial cancer""]}",100
bronchial disease,"['Theobromine', 'Acebrophylline', 'Levodropropizine', 'SYRUP', 'Azithromycin']","['pleural disease', 'bronchiolitis', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'chondromalacia', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'lymph node tuberculosis', 'granulomatosis with polyangiitis', 'tuberculosis', 'bagassosis', 'relapsing polychondritis', 'rhinoscleroma', 'tracheitis', 'trachea leiomyoma', 'bronchitis', 'anthracosis', 'laryngeal disease', 'bronchopneumonia', 'tracheal stenosis', 'actinomycosis', 'bronchus carcinoma', 'bronchiectasis', 'geotrichosis', 'mucormycosis', 'lung abscess', 'Melnick-Needles syndrome', 'esophageal disease', 'tracheal disease', 'Cor pulmonale', 'pulmonary plasma cell granuloma', 'laryngeal tuberculosis', 'pneumoconiosis', 'cartilage disease', 'lingual-facial-buccal dyskinesia']",What compounds treat 'bronchial disease' and what diseases resemble 'bronchial disease'?,"{""Compounds"":[""SYRUP"", ""Theobromine"", ""Acebrophylline"", ""Levodropropizine""], ""Diseases"":[""bronchiolitis"", ""bronchitis"", ""bronchopneumonia"", ""bronchiectasis"", ""tracheal disease"", ""Cor pulmonale"", ""tracheitis"", ""pleural disease"", ""bagassosis"", ""cartilage disease"", ""bronchus carcinoma"", ""esophageal disease"", ""allergic bronchopulmonary aspergillosis"", ""chondromalacia"", ""laryngeal disease""]}",100
bronchiectasis,"['Ciprofloxacin', 'Carbocysteine', 'Sodium Chloride', 'BENRALIZUMAB', 'Roflumilast', 'Formoterol', 'Brensocatib', 'Beclomethasone dipropionate', 'Mannitol', 'colistimethate sodium', 'Azithromycin']","['Kartagener syndrome', 'bronchiolitis', 'Mycobacterium avium complex disease', 'agammaglobulinemia', 'tuberculous empyema', 'dysgammaglobulinemia', 'secondary hypertrophic osteoarthropathy', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'pleurisy', 'dextrocardia', 'telangiectasis', 'chronic mucocutaneous candidiasis', 'bronchitis', 'situs inversus', 'primary ciliary dyskinesia', 'common variable immunodeficiency', 'selective IgG deficiency disease', 'bronchopneumonia', 'bronchus carcinoma', 'oligospermia', 'alpha 1-antitrypsin deficiency', 'bronchiolitis obliterans', 'lung abscess', 'yellow nail syndrome', 'lipid pneumonia', 'tracheal disease', 'Cor pulmonale', 'bronchial disease', 'hyperlucent lung', 'nocardiosis', 'ataxia telangiectasia']",What compounds treat 'bronchiectasis' and what diseases resemble 'bronchiectasis'?,"{""Compounds"":[""Formoterol"", ""Brensocatib"", ""Bitolterol"", ""Epinephrine"", ""Acetylcysteine"", ""Cysteine"", ""Roflumilast"", ""Pirbuterol"", ""Norepinephrine"", ""Carbocysteine"", ""Beclomethasone dipropionate"", ""colistimethate sodium"", ""Binodrenal"", ""Adrenaline bitartrate"", ""Ciprofloxacin"", ""BENRALIZUMAB"", ""Mannitol"", ""Sodium Chloride""], ""Diseases"":[""bronchiolitis"", ""bronchial disease"", ""bronchiolitis obliterans"", ""bronchitis"", ""bronchopneumonia"", ""tracheal disease"", ""allergic bronchopulmonary aspergillosis"", ""bronchus carcinoma"", ""situs inversus"", ""dextrocardia"", ""lung abscess"", ""telangiectasis"", ""Cor pulmonale"", ""oligospermia"", ""bronchial benign neoplasm""]}",100
