disease_name,gene_name,gwas_pvalue,question,question_perturbed,kg_rag_answer,total_tokens_used,kg_rag_answer_perturbed,total_tokens_used_perturbed
melanoma,SPG7,9e-26,What is the GWAS p-value for the association between SPG7 and melanoma?,What is the GWAS p-value for the association between spg7 and melanoma?,The GWAS p-value for the association between SPG7 and melanoma is 9e-26. The provenance of this association is GWAS.,10031,The GWAS p-value for the association between SPG7 and melanoma is 9e-26 (Provenance: GWAS).,10028
type 2 diabetes mellitus,EYA2,6e-19,Is EYA2 associated with type 2 diabetes mellitus?,Is eya2 associated with type 2 diabetes mellitus?,"Yes, the gene EYA2 is associated with type 2 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 6e-19, indicating a statistically significant association.",9080,"Yes, the gene EYA2 is associated with type 2 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 6e-19, indicating a statistically significant association.",9080
carpal tunnel syndrome,SERPINA1,3e-24,What is the GWAS p-value for the association between SERPINA1 and carpal tunnel syndrome?,What is the GWAS p-value for the association between serpina1 and carpal tunnel syndrome?,The GWAS p-value for the association between SERPINA1 and carpal tunnel syndrome is 3e-24. (Provenance: GWAS),1566,The GWAS p-value for the association between SERPINA1 and carpal tunnel syndrome is 3e-24. (Provenance: GWAS),1566
substance-related disorder,FUT2,3e-19,What is the GWAS p-value for the association between substance-related disorder and FUT2?,What is the GWAS p-value for the association between substance-related disorder and fut2?,The GWAS p-value for the association between substance-related disorder and FUT2 is 3e-19. (Provenance: GWAS),1144,The GWAS p-value for the association between substance-related disorder and FUT2 is 3e-19. The provenance of this association is GWAS.,1146
open-angle glaucoma,PLEKHA7,9e-15,Is open-angle glaucoma associated with PLEKHA7?,Is open-angle glaucoma associated with plekha7?,"Yes, open-angle glaucoma is associated with the gene PLEKHA7. The provenance of this association is GWAS (Genome-Wide Association Studies). (Provenance: GWAS)",2854,"Yes, open-angle glaucoma is associated with the gene PLEKHA7. The provenance of this association is GWAS (Genome-Wide Association Studies). (Provenance: GWAS)",2854
myocardial infarction,ZNF831,1e-08,What is the GWAS p-value for the association between myocardial infarction and ZNF831?,What is the GWAS p-value for the association between myocardial infarction and znf831?,The GWAS p-value for the association between myocardial infarction and ZNF831 is 1e-08. (Provenance: GWAS),7677,The GWAS p-value for the association between myocardial infarction and ZNF831 is 1e-08. (Provenance: GWAS),7677
squamous cell carcinoma,IRF4,1e-169,Is IRF4 associated with squamous cell carcinoma?,Is irf4 associated with squamous cell carcinoma?,"Yes, the gene IRF4 is associated with the disease squamous cell carcinoma. The provenance of this association is GWAS (Genome-Wide Association Studies).",3782,"Yes, the gene IRF4 is associated with the disease squamous cell carcinoma. The provenance of this association is GWAS (Genome-Wide Association Studies).",3782
Parkinson's disease,WDHD1,4e-16,What is the GWAS p-value for the association between WDHD1 and Parkinson's disease?,What is the GWAS p-value for the association between wdhd1 and parkinson's disease?,The GWAS p-value for the association between WDHD1 and Parkinson's disease is 4e-16. (Provenance: GWAS),3838,The GWAS p-value for the association between WDHD1 and Parkinson's disease is 4e-16. (Provenance: GWAS),3838
cataract,TOP1,1e-11,Is cataract associated with TOP1?,Is cataract associated with top1?,"Yes, the disease cataract is associated with the gene TOP1. The provenance of this association is GWAS.",3568,"Yes, the disease cataract is associated with the gene TOP1. The provenance of this association is GWAS.",3568
atrial fibrillation,AGBL4,3e-09,What is the GWAS p-value for the association between atrial fibrillation and AGBL4?,What is the GWAS p-value for the association between atrial fibrillation and agbl4?,The GWAS p-value for the association between atrial fibrillation and AGBL4 is 3e-09. (Provenance: GWAS),4553,The GWAS p-value for the association between atrial fibrillation and AGBL4 is 3e-09. (Provenance: GWAS),4553
otosclerosis,SEMA4D,4e-09,What is the GWAS p-value for the association between otosclerosis and SEMA4D?,What is the GWAS p-value for the association between otosclerosis and sema4d?,The GWAS p-value for the association between otosclerosis and SEMA4D is 4e-09. The provenance of this information is GWAS.,508,The GWAS p-value for the association between otosclerosis and SEMA4D is 4e-09. The provenance of this information is GWAS.,508
hypothyroidism,RAD51B,2e-11,What is the GWAS p-value for the association between hypothyroidism and RAD51B?,What is the GWAS p-value for the association between hypothyroidism and rad51b?,The GWAS p-value for the association between hypothyroidism and RAD51B is 2e-11. (Provenance: GWAS),8060,The GWAS p-value for the association between hypothyroidism and RAD51B is 2e-11. (Provenance: GWAS),8060
childhood-onset asthma,SPSB1,4e-18,What is the GWAS p-value for the association between SPSB1 and childhood-onset asthma?,What is the GWAS p-value for the association between spsb1 and childhood-onset asthma?,The GWAS p-value for the association between SPSB1 and childhood-onset asthma is 4e-18. (Provenance: GWAS),1976,The GWAS p-value for the association between SPSB1 and childhood-onset asthma is 4e-18. (Provenance: GWAS),1976
major depressive disorder,ATG7,5e-08,Is major depressive disorder associated with ATG7?,Is major depressive disorder associated with atg7?,"Yes, the major depressive disorder is associated with the gene ATG7. The provenance of this association is GWAS with a p-value of 5e-08.",3020,"Yes, the major depressive disorder is associated with the gene ATG7. The provenance of this association is GWAS with a p-value of 5e-08.",3020
alopecia,WNT10A,2e-16,Is WNT10A associated with alopecia?,Is wnt10a associated with alopecia?,"Yes, the gene WNT10A is associated with the disease alopecia. The provenance of this association is GWAS.",4759,"Yes, the gene WNT10A is associated with the disease alopecia. The provenance of this association is GWAS.",4759
inflammatory bowel disease,IL27,1e-21,Is inflammatory bowel disease associated with IL27?,Is inflammatory bowel disease associated with il27?,"Yes, the inflammatory bowel disease is associated with the gene IL27. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 1e-21, indicating a statistically significant association.",6232,"Yes, the inflammatory bowel disease is associated with the gene IL27. The provenance of this association is GWAS (Genome-Wide Association Studies) with a GWAS p-value of 1e-21.",6228
tonsillitis,TNFRSF13B,7.999999999999999e-26,What is the GWAS p-value for the association between tonsillitis and TNFRSF13B?,What is the GWAS p-value for the association between tonsillitis and tnfrsf13b?,The GWAS p-value for the association between tonsillitis and TNFRSF13B is 8e-26. The provenance of this information is GWAS.,1447,The GWAS p-value for the association between tonsillitis and TNFRSF13B is 8e-26. The provenance of this association is GWAS.,1447
cleft lip,SFI1,3e-08,What is the GWAS p-value for the association between cleft lip and SFI1?,What is the GWAS p-value for the association between cleft lip and sfi1?,The GWAS p-value for the association between cleft lip and SFI1 is 3e-08. The provenance of this association is GWAS.,2600,The GWAS p-value for the association between cleft lip and SFI1 is 3e-08. The provenance of this association is GWAS.,2600
multiple sclerosis,INAVA,6e-21,What is the GWAS p-value for the association between multiple sclerosis and INAVA?,What is the GWAS p-value for the association between multiple sclerosis and inava?,The GWAS p-value for the association between multiple sclerosis and INAVA is 6e-21. (Provenance: GWAS),3364,The GWAS p-value for the association between multiple sclerosis and INAVA is 6e-21. (Provenance: GWAS),3364
esophageal carcinoma,CASP8,1e-08,Is esophageal carcinoma associated with CASP8?,Is esophageal carcinoma associated with casp8?,"Yes, esophageal carcinoma is associated with the gene CASP8. The provenance of this association is GWAS.",393,"Yes, esophageal carcinoma is associated with the gene CASP8. The provenance of this association is GWAS.",393
skin melanoma,GPRC5A,8e-15,Is skin melanoma associated with GPRC5A?,Is skin melanoma associated with gprc5a?,"Yes, skin melanoma is associated with the gene GPRC5A. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 8e-15, indicating a statistically significant association.",832,"Yes, skin melanoma is associated with the gene GPRC5A. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 8e-15, indicating a statistically significant association.",832
lung squamous cell carcinoma,BRCA2,1e-15,Is lung squamous cell carcinoma associated with BRCA2?,Is lung squamous cell carcinoma associated with brca2?,"Yes, lung squamous cell carcinoma is associated with the gene BRCA2. The provenance of this association is GWAS with a p-value of 1e-15.",627,"Yes, lung squamous cell carcinoma is associated with the gene BRCA2. The provenance of this association is GWAS with a p-value of 1e-15.",627
systemic lupus erythematosus,HLA-DRA,2.0000000000000002e-60,What is the GWAS p-value for the association between HLA-DRA and systemic lupus erythematosus?,What is the GWAS p-value for the association between hla-dra and systemic lupus erythematosus?,The GWAS p-value for the association between HLA-DRA and systemic lupus erythematosus is 2e-60. (Provenance: GWAS),6588,The GWAS p-value for the association between HLA-DRA and systemic lupus erythematosus is 2e-60. (Provenance: GWAS),6588
type 2 diabetes mellitus,UBE2E2,1.9999999999999998e-42,Is type 2 diabetes mellitus associated with UBE2E2?,Is type 2 diabetes mellitus associated with ube2e2?,"Yes, type 2 diabetes mellitus is associated with the gene UBE2E2. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 2e-42, indicating a statistically significant association.",8500,"Yes, type 2 diabetes mellitus is associated with the gene UBE2E2. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 2e-42, indicating a statistically significant association.",8500
allergic rhinitis,HLA-DQA1,1e-43,What is the GWAS p-value for the association between HLA-DQA1 and allergic rhinitis?,What is the GWAS p-value for the association between hla-dqa1 and allergic rhinitis?,The GWAS p-value for the association between HLA-DQA1 and allergic rhinitis is 1e-43. The provenance of this association is GWAS.,1474,The GWAS p-value for the association between HLA-DQA1 and allergic rhinitis is 1e-43. The provenance of this association is GWAS.,1474
systemic lupus erythematosus,HLA-DQA1,9.999999999999999e-55,What is the GWAS p-value for the association between systemic lupus erythematosus and HLA-DQA1?,What is the GWAS p-value for the association between systemic lupus erythematosus and hla-dqa1?,The GWAS p-value for the association between systemic lupus erythematosus and HLA-DQA1 is 1e-54.,6349,The GWAS p-value for the association between systemic lupus erythematosus and HLA-DQA1 is 1e-54.,6349
