disease_name,disease_id
gas gangrene,DOID:9159
familial erythrocytosis 6,DOID:0111632
congenital sucrase-isomaltase deficiency,DOID:0111633
Lambert-Eaton myasthenic syndrome,DOID:0050214
breast ductal carcinoma,DOID:3007
invasive ductal carcinoma,DOID:3008
mitochondrial complex III deficiency nuclear type 7,DOID:0080116
"contractures, pterygia, and spondylocarpotarsal fusion syndrome",DOID:0080110
mitochondrial complex III deficiency nuclear type 1,DOID:0080111
granulomatosis with polyangiitis,DOID:12132
mitochondrial complex III deficiency nuclear type 3,DOID:0080112
factor VIII deficiency,DOID:12134
mitochondrial complex III deficiency nuclear type 4,DOID:0080113
renal hypoplasia,DOID:0080204
CAKUT,DOID:0080205
CAKUT1,DOID:0080206
CAKUT2,DOID:0080207
adenoid cystic carcinoma,DOID:0080202
childhood acute myeloid leukemia,DOID:0070323
tongue cancer,DOID:8649
non-alcoholic fatty liver disease,
"sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",DOID:0080209
hemoglobin H disease,DOID:0110031
autosomal recessive Alport syndrome,DOID:0110033
Alzheimer's disease 2,DOID:0110035
X-linked Alport syndrome,DOID:0110034
complement component 5 deficiency,DOID:8158
hypertrophic cardiomyopathy 15,DOID:0110321
hypertrophic cardiomyopathy 14,DOID:0110320
hypertrophic cardiomyopathy 16,DOID:0110322
Joubert syndrome 28,DOID:0110997
hypertrophic cardiomyopathy 18,DOID:0110324
malignant exocrine pancreas neoplasm,DOID:1795
autosomal recessive limb-girdle muscular dystrophy type 2I,DOID:0110299
autosomal recessive limb-girdle muscular dystrophy type 2N,DOID:0110298
autosomal recessive limb-girdle muscular dystrophy type 2U,DOID:0110295
autosomal recessive limb-girdle muscular dystrophy type 2T,DOID:0110294
autosomal recessive limb-girdle muscular dystrophy type 2K,DOID:0110297
autosomal recessive limb-girdle muscular dystrophy type 2M,DOID:0110296
Leber congenital amaurosis 10,DOID:0110291
autosomal recessive limb-girdle muscular dystrophy type 2X,DOID:0110290
autosomal recessive limb-girdle muscular dystrophy type 2P,DOID:0110293
autosomal recessive limb-girdle muscular dystrophy type 2O,DOID:0110292
personality disorder,DOID:1510
Brugada syndrome 6,DOID:0110223
Joubert syndrome 3,DOID:0110998
pleomorphic lipoma,DOID:10192
acute monocytic leukemia,DOID:8864
dilated cardiomyopathy 1II,DOID:0110450
acute hemorrhagic leukoencephalitis,DOID:10992
squamous cell papilloma,DOID:139
autosomal recessive congenital ichthyosis,DOID:0060655
autosomal recessive congenital ichthyosis 1,DOID:0060656
MYH-9 related disease,DOID:0060651
dicarboxylic aminoaciduria,DOID:0060650
familial erythrocytosis 1,DOID:0060652
immunodeficiency-centromeric instability-facial anomalies syndrome,DOID:0090007
renal coloboma syndrome,DOID:0090006
Schwartz-Jampel syndrome 1,DOID:0090005
progressive pseudorheumatoid arthropathy of childhood,DOID:0090004
agenesis of the corpus callosum with peripheral neuropathy,DOID:0090003
Tietz syndrome,DOID:0090002
Fraser syndrome,DOID:0090001
immunodeficiency-centromeric instability-facial anomalies syndrome 2,DOID:0090009
immunodeficiency-centromeric instability-facial anomalies syndrome 1,DOID:0090008
pancytopenia,DOID:12450
central nervous system disease,DOID:331
renal glycosuria,DOID:9432
multiple intestinal atresia,DOID:14671
optic neuritis,DOID:1210
hemangioblastoma,DOID:5241
hypothyroidism,DOID:1459
corneal dystrophy,DOID:2566
familial cold autoinflammatory syndrome 4,DOID:0090065
splenic disease,DOID:2529
prostate adenocarcinoma,DOID:2526
nephrosis,DOID:2527
muscle cancer,DOID:4045
skeletal muscle cancer,DOID:4043
uveal coloboma-cleft lip and palate-intellectual disability,DOID:0111249
cerebrocostomandibular syndrome,DOID:0111248
palmoplantar keratoderma and congenital alopecia 1,DOID:0111244
hypertension and brachydactyly syndrome,DOID:0111247
amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,DOID:0111246
congenital muscular dystrophy-dystroglycanopathy type A5,DOID:0111241
congenital muscular dystrophy-dystroglycanopathy type A2,DOID:0111240
acromicric dysplasia,DOID:0111243
congenital muscular dystrophy-dystroglycanopathy type A6,DOID:0111242
congenital disorder of glycosylation Ir,DOID:0080569
congenital disorder of glycosylation Iq,DOID:0080568
congenital disorder of glycosylation Im,DOID:0080565
congenital disorder of glycosylation Il,DOID:0080564
congenital disorder of glycosylation Ip,DOID:0080567
congenital disorder of glycosylation In,DOID:0080566
congenital disorder of glycosylation Ii,DOID:0080561
congenital disorder of glycosylation Ih,DOID:0080560
congenital disorder of glycosylation Ik,DOID:0080563
congenital disorder of glycosylation Ij,DOID:0080562
vascular hemostatic disease,DOID:484
cavernous hemangioma,DOID:483
movement disease,DOID:480
hemochromatosis type 1,DOID:0111029
hemochromatosis type 4,DOID:0111028
cone-rod dystrophy 15,DOID:0111021
cone-rod dystrophy 9,DOID:0111020
cone-rod dystrophy 16,DOID:0111022
cone-rod dystrophy 19,DOID:0111025
cone-rod dystrophy 18,DOID:0111024
hemochromatosis type 2A,DOID:0111027
cone-rod dystrophy 20,DOID:0111026
Fuchs' endothelial dystrophy,DOID:11555
oculomotor nerve paralysis,DOID:11550
lysosomal storage disease,DOID:3211
Pelizaeus-Merzbacher disease,DOID:3210
Charcot-Marie-Tooth disease recessive intermediate C,DOID:0110198
Charcot-Marie-Tooth disease dominant intermediate C,DOID:0110199
Charcot-Marie-Tooth disease type 4G,DOID:0110196
Charcot-Marie-Tooth disease dominant intermediate B,DOID:0110197
Charcot-Marie-Tooth disease type 4B3,DOID:0110194
Charcot-Marie-Tooth disease type 4E,DOID:0110195
Charcot-Marie-Tooth disease type 4H,DOID:0110192
Charcot-Marie-Tooth disease type 4F,DOID:0110193
Charcot-Marie-Tooth disease type 4B2,DOID:0110190
Charcot-Marie-Tooth disease type 4B1,DOID:0110191
endocardial fibroelastosis,DOID:12929
hereditary sensory neuropathy type 1E,DOID:0070158
hereditary sensory and autonomic neuropathy type 1C,DOID:0070157
hereditary sensory neuropathy type 1D,DOID:0070156
hereditary sensory and autonomic neuropathy type 2A,DOID:0070155
hereditary sensory neuropathy type 1F,DOID:0070154
hereditary sensory and autonomic neuropathy type 8,DOID:0070153
infratentorial cancer,DOID:4706
hereditary sensory and autonomic neuropathy type 6,DOID:0070151
hereditary sensory and autonomic neuropathy type 2B,DOID:0070150
muscular dystrophy,DOID:9884
retinitis pigmentosa 55,DOID:0110370
retinitis pigmentosa 41,DOID:0110376
retinitis pigmentosa 49,DOID:0110377
retinitis pigmentosa 68,DOID:0110374
retinitis pigmentosa 40,DOID:0110375
Creutzfeldt-Jakob disease,DOID:11949
familial cold autoinflammatory syndrome 2,DOID:0090063
FG syndrome,DOID:14711
mixed gonadal dysgenesis,DOID:14449
band keratopathy,DOID:11164
gonadal dysgenesis,DOID:14447
neonatal respiratory failure,DOID:11161
respiratory failure,DOID:11162
janus kinase-3 deficiency,DOID:0060008
MHC class I deficiency,DOID:0060009
conjunctivitis,DOID:6195
infective endocarditis,DOID:0060000
withdrawal disorder,DOID:0060001
C1 inhibitor deficiency,DOID:0060002
autoimmune disease of central nervous system,DOID:0060004
autoimmune disease of endocrine system,DOID:0060005
ileitis,DOID:0060189
Stargardt disease,DOID:0050817
liver benign neoplasm,DOID:916
amyotrophic neuralgia,DOID:10383
Bartter disease,DOID:445
3-methylglutaconic aciduria type 5,DOID:0110000
substance-related disorder,DOID:303
substance abuse,DOID:302
carcinoma,DOID:305
hyperlipoproteinemia type V,DOID:1171
hyperlipoproteinemia type IV,DOID:1172
right atrial isomerism,DOID:0060856
early myoclonic encephalopathy,DOID:308
3-methylglutaconic aciduria type 1,DOID:0110002
visual epilepsy,DOID:11832
cortical blindness,DOID:11831
myopia,DOID:11830
clubfoot,DOID:11836
riboflavin deficiency,DOID:8454
Pierson syndrome,DOID:0060852
pemphigus vulgaris,DOID:0060851
nonpapillary renal cell carcinoma,DOID:0050387
Sneddon syndrome,DOID:13096
vertebral artery insufficiency,DOID:13095
brachydactyly type B2,DOID:0110975
Moyamoya disease,DOID:13099
brachydactyly type C,DOID:0110970
brachydactyly type D,DOID:0110971
brachydactyly type E1,DOID:0110972
androgen insensitivity syndrome,DOID:4674
uremic neuropathy,DOID:4675
uremia,DOID:4676
keratitis,DOID:4677
mucosal melanoma,DOID:0050929
acinar cell carcinoma,DOID:3025
childhood ependymoma,DOID:5509
cellular ependymoma,DOID:5500
papillary ependymoma,DOID:5505
low tension glaucoma,DOID:13544
hyperparathyroidism,DOID:13543
lymphocytic choriomeningitis,DOID:12155
renal cell carcinoma,DOID:4450
renal carcinoma,DOID:4451
multiple epiphyseal dysplasia 7,DOID:0070302
epidermolytic palmoplantar keratoderma,DOID:0080223
craniolenticulosutural dysplasia,DOID:0070307
multiple epiphyseal dysplasia 3,DOID:0070304
syndromic X-linked intellectual disability Shashi type,DOID:0060826
X-linked intellectual disability-psychosis-macroorchidism syndrome,DOID:0060827
syndromic X-linked intellectual disability Raymond type,DOID:0060824
Christianson syndrome,DOID:0060825
syndromic X-linked intellectual disability Cabezas type,DOID:0060822
syndromic X-linked intellectual disability 94,DOID:0060823
syndromic X-linked intellectual disability Nascimento type,DOID:0060820
syndromic X-linked intellectual disability 14,DOID:0060821
Leber hereditary optic neuropathy,DOID:705
ectodermal dysplasia 12,DOID:0111652
Loeys-Dietz syndrome 5,DOID:0070236
papillary craniopharyngioma,DOID:3847
developmental and epileptic encephalopathy 63,DOID:0080426
hepatobiliary system cancer,DOID:0080355
X-linked chondrodysplasia punctata 2,DOID:0080352
ectodermal dysplasia 11A,DOID:0111653
retinitis pigmentosa 77,DOID:0080350
dystonia,DOID:543
thyroid lymphoma,DOID:10011
multiple endocrine neoplasia type 2B,DOID:10016
multiple endocrine neoplasia type 1,DOID:10017
ectodermal dysplasia 13,DOID:0111650
fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 2,
constipation,
fatal infantile cardioencephalomyopathy due to cytochrome c oxidase deficiency 3,
optic papillitis,DOID:10175
kernicterus,DOID:2382
retinitis pigmentosa with or without situs inversus,DOID:0110419
retinitis pigmentosa 2,DOID:0110415
retinitis pigmentosa 3,DOID:0110414
retinitis pigmentosa 23,DOID:0110412
retinitis pigmentosa 60,DOID:0110411
disease of mental health,DOID:150
permanent neonatal diabetes mellitus,DOID:0060639
neonatal diabetes mellitus with congenital hypothyroidism,DOID:0060638
nephronophthisis,DOID:12712
CINCA Syndrome,DOID:0090029
familial isolated deficiency of vitamin E,DOID:0090028
Ellis-Van Creveld syndrome,DOID:12714
split hand-foot malformation 3,DOID:0090025
split hand-foot malformation 1 with sensorineural hearing loss,DOID:0090024
split hand-foot malformation 2,DOID:0090027
split hand-foot malformation 6,DOID:0090026
split hand-foot malformation 1,DOID:0090021
split hand-foot malformation,DOID:0090020
split hand-foot malformation 4,DOID:0090023
split hand-foot malformation 5,DOID:0090022
liver cirrhosis,DOID:5082
panhypopituitarism,DOID:9410
allergic asthma,DOID:9415
prostatitis,DOID:14654
color blindness,DOID:13399
gender incongruence,DOID:1234
nephrogenic diabetes insipidus,DOID:12387
neurohypophyseal diabetes insipidus,DOID:12388
methylmalonic aciduria and homocystinuria type cblF,DOID:0050717
methylmalonic aciduria and homocystinuria type cblD,DOID:0050716
methylmalonic aciduria and homocystinuria type cblC,DOID:0050715
AGAT deficiency,DOID:0050712
aceruloplasminemia,DOID:0050711
3-methylcrotonyl-CoA carboxylase deficiency,DOID:0050710
lung non-small cell carcinoma,DOID:3908
cerebral folate receptor alpha deficiency,DOID:0050719
vitamin metabolic disorder,DOID:0050718
Takayasu's arteritis,DOID:2508
ureterocele,DOID:4022
gastritis,DOID:4029
congenital muscular dystrophy-dystroglycanopathy type A,DOID:0111229
Sveinsson chorioretinal atrophy,DOID:0111228
centronuclear myopathy 1,DOID:0111223
centronuclear myopathy 5,DOID:0111222
centronuclear myopathy 6 with fiber-type disproportion,DOID:0111221
centronuclear myopathy 2,DOID:0111220
chromosome 3-linked frontotemporal dementia,DOID:0111227
centronuclear myopathy X-linked,DOID:0111225
centronuclear myopathy 4,DOID:0111224
Cornelia de Lange syndrome 5,DOID:0080509
Cornelia de Lange syndrome 4,DOID:0080508
multiple congenital anomalies-hypotonia-seizures syndrome,DOID:0080503
GM1 gangliosidosis type 1,DOID:0080502
GM1 gangliosidosis type 2,DOID:0080501
ovarian dysgenesis 8,DOID:0080500
Cornelia de Lange syndrome 3,DOID:0080507
Cornelia de Lange syndrome 2,DOID:0080506
Cornelia de Lange syndrome 1,DOID:0080505
Parkinson's disease 22,DOID:0080504
Bowen-Conradi syndrome,DOID:0050684
upper respiratory tract disease,DOID:974
"congenital heart defects, hamartomas of tongue, and polysyndactyly",DOID:0111591
Cohen syndrome,DOID:0111590
plasminogen deficiency type I,DOID:0111592
congenital contractural arachnodactyly,DOID:0111595
distal arthrogryposis type 5D,DOID:0111594
distal arthrogryposis type 1A,DOID:0111597
distal arthrogryposis type 1,DOID:0111596
distal arthrogryposis type 2B,DOID:0111599
distal arthrogryposis type 1B,DOID:0111598
Athabaskan brainstem dysgenesis syndrome,DOID:0050682
cystadenocarcinoma,DOID:3111
papillary carcinoma,DOID:3113
thymoma,DOID:3275
thymus cancer,DOID:3277
neuronal ceroid lipofuscinosis 10,DOID:0110725
alcoholic liver cirrhosis,DOID:14018
Charcot-Marie-Tooth disease axonal type 2L,DOID:0110174
Charcot-Marie-Tooth disease axonal type 2O,DOID:0110175
Charcot-Marie-Tooth disease axonal type 2X,DOID:0110176
Charcot-Marie-Tooth disease axonal type 2N,DOID:0110177
Charcot-Marie-Tooth disease axonal type 2Q,DOID:0110170
Charcot-Marie-Tooth disease axonal type 2S,DOID:0110171
Charcot-Marie-Tooth disease axonal type 2U,DOID:0110173
Charcot-Marie-Tooth disease axonal type 2V,DOID:0110178
Charcot-Marie-Tooth disease type 2B2,DOID:0110179
congenital myasthenic syndrome 4B,DOID:0110677
spermatogenic failure 17,DOID:0070174
spermatogenic failure 22,DOID:0070177
spermatogenic failure 4,DOID:0070176
spermatogenic failure 12,DOID:0070171
spermatogenic failure 19,DOID:0070170
spermatogenic failure 7,DOID:0070173
spermatogenic failure 15,DOID:0070172
spermatogenic failure 14,DOID:0070179
spermatogenic failure 10,DOID:0070178
hypertrophic cardiomyopathy 4,DOID:0110310
hypertrophic cardiomyopathy 6,DOID:0110312
hypertrophic cardiomyopathy 7,DOID:0110313
hypertrophic cardiomyopathy 8,DOID:0110314
hypertrophic cardiomyopathy 9,DOID:0110315
hypertrophic cardiomyopathy 10,DOID:0110316
hypertrophic cardiomyopathy 11,DOID:0110317
hypertrophic cardiomyopathy 12,DOID:0110318
hypertrophic cardiomyopathy 13,DOID:0110319
oral cavity cancer,DOID:8618
recurrent hypersomnia,DOID:8619
familial hemophagocytic lymphohistiocytosis 2,DOID:0110922
pituitary hypoplasia,DOID:7378
neuroleptic malignant syndrome,DOID:14464
torsion dystonia 4,DOID:0090041
congenital myasthenic syndrome 11,DOID:0110675
agammaglobulinemia 4,DOID:0060027
immunoglobulin alpha deficiency,DOID:0060025
CD40 ligand deficiency,DOID:0060022
immunodeficiency with hyper IgM type 3,DOID:0060023
reticular dysgenesis,DOID:0060020
DNA ligase IV deficiency,DOID:0060021
multiple epiphyseal dysplasia with myopia and deafness,DOID:0111348
familial hemophagocytic lymphohistiocytosis 4,DOID:0110924
autoimmune disease of exocrine system,DOID:0060029
Guillain-Barre syndrome,DOID:12842
persistent hyperplastic primary vitreous,DOID:0060282
peeling skin syndrome,DOID:0060283
primary pigmented nodular adrenocortical disease,DOID:0060280
combined oxidative phosphorylation deficiency,DOID:0060286
cornea plana,DOID:0060287
paroxysmal nocturnal hemoglobinuria,DOID:0060284
parietal foramina,DOID:0060285
omodysplasia,DOID:0060288
Ohdo syndrome,DOID:0060289
nasal cavity cancer,DOID:10811
autistic disorder,DOID:12849
chikungunya,DOID:0050012
Koolen de Vries syndrome,DOID:0050880
bladder disease,DOID:365
uterine cancer,DOID:363
epidural abscess,DOID:11387
monocular exotropia,DOID:11853
spinocerebellar ataxia type 27,DOID:0050976
spinocerebellar ataxia type 29,DOID:0050978
well-differentiated liposarcoma,DOID:5690
Gaucher's disease type II,DOID:0110958
Gaucher's disease type III,DOID:0110959
Waardenburg syndrome type 2D,DOID:0110952
Waardenburg syndrome type 4A,DOID:0110953
Waardenburg syndrome type 2A,DOID:0110950
Waardenburg syndrome type 2E,DOID:0110956
Gaucher's disease type I,DOID:0110957
Waardenburg syndrome type 4B,DOID:0110954
Waardenburg syndrome type 4C,DOID:0110955
periapical granuloma,DOID:4617
intestinal benign neoplasm,DOID:4610
myelodysplastic syndrome,DOID:0050908
extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,DOID:0050909
Churg-Strauss syndrome,DOID:3049
food allergy,DOID:3044
allergic contact dermatitis,DOID:3042
salivary gland carcinoma,DOID:0050904
dysgammaglobulinemia,DOID:11702
aspergillosis,DOID:13564
head and neck squamous cell carcinoma,DOID:5520
familial adult myoclonic epilepsy 2,DOID:0111692
Crouzon syndrome-acanthosis nigricans syndrome,DOID:0111161
common variable immunodeficiency,DOID:12177
goiter,DOID:12176
familial adult myoclonic epilepsy 1,DOID:0111690
dyskinesia of esophagus,DOID:9192
breast secretory carcinoma,DOID:4922
Klippel-Feil syndrome 3,DOID:0080591
bronchiolo-alveolar adenocarcinoma,DOID:4926
intrahepatic cholangiocarcinoma,DOID:4928
"cleft palate, cardiac defects, and intellectual disabillity",DOID:0111697
erythrokeratodermia variabilis et progressiva 2,DOID:0080248
erythrokeratodermia variabilis et progressiva 3,DOID:0080249
familial adult myoclonic epilepsy 7,DOID:0111694
non-syndromic X-linked intellectual disability 106,DOID:0080240
syndromic X-linked mental retardation 35,DOID:0080241
syndromic X-linked mental retardation Hough type,DOID:0080242
familial adult myoclonic epilepsy 3,DOID:0111695
Galloway-Mowat syndrome 2,DOID:0080244
Galloway-Mowat syndrome 3,DOID:0080245
Galloway-Mowat syndrome 4,DOID:0080246
Galloway-Mowat syndrome 5,DOID:0080247
periampullary adenocarcinoma,DOID:8110
brain ischemia,DOID:2316
autosomal dominant nonsyndromic deafness 3A,DOID:0110564
hereditary spastic paraplegia 35,DOID:0110786
hereditary spastic paraplegia 33,DOID:0110784
hereditary spastic paraplegia 31,DOID:0110782
hereditary spastic paraplegia 30,DOID:0110781
osteonecrosis,DOID:10159
intestinal cancer,DOID:10155
subacute thyroiditis,DOID:7165
thyroiditis,DOID:7166
dilated cardiomyopathy 1GG,DOID:0110435
dilated cardiomyopathy 1Z,DOID:0110434
dilated cardiomyopathy 1L,DOID:0110436
dilated cardiomyopathy 1I,DOID:0110431
dilated cardiomyopathy 1G,DOID:0110430
dilated cardiomyopathy 1E,DOID:0110433
dilated cardiomyopathy 1NN,DOID:0110432
intermediate coronary syndrome,DOID:8805
dilated cardiomyopathy 1P,DOID:0110439
dilated cardiomyopathy 1JJ,DOID:0110438
endocrine gland cancer,DOID:170
neuroectodermal tumor,DOID:171
cardiovascular cancer,DOID:176
acanthoma,DOID:174
vascular cancer,DOID:175
vascular disease,DOID:178
XFE progeroid syndrome,DOID:0060590
WHIM syndrome,DOID:0060591
"atypical chronic myeloid leukemia, BCR-ABL1 negative",DOID:0060597
paroxysmal nonkinesigenic dyskinesia 1,DOID:0090049
dystonia 16,DOID:0090048
dystonia 5,DOID:0090043
childhood onset GLUT1 deficiency syndrome 2,DOID:0090045
dystonia 9,DOID:0090044
uterine corpus myxoid leiomyosarcoma,DOID:6567
chronic leukemia,DOID:1036
pericarditis,DOID:1787
adrenal rest tumor,DOID:1786
pituitary cancer,DOID:1785
thyroid gland cancer,
hereditary spherocytosis type 5,DOID:0110920
"microcephaly with or without chorioretinopathy, lymphedema, or mental retardation",DOID:0060349
hypoparathyroidism-retardation-dysmorphism syndrome,DOID:0060348
megacystis-microcolon-intestinal hypoperistalsis syndrome,DOID:0060610
abdominal obesity-metabolic syndrome 3,DOID:0060612
glucocorticoid-induced osteoporosis,DOID:0060343
acromelic frontonasal dysostosis,DOID:0060342
agnathia-otocephaly complex,DOID:0060341
ciliopathy,DOID:0060340
"fructose-1,6-bisphosphatase deficiency",DOID:5204
trichuriasis,DOID:1252
inflammatory bowel disease 13,DOID:0110893
inflammatory bowel disease 1,DOID:0110892
inflammatory bowel disease 19,DOID:0110890
inflammatory bowel disease 14,DOID:0110895
nemaline myopathy 1,DOID:0110926
autosomal genetic disease,DOID:0050739
X-linked monogenic disease,DOID:0050735
congenital intrinsic factor deficiency,DOID:0050734
autosomal recessive disease,DOID:0050737
autosomal dominant disease,DOID:0050736
vitamin B12 deficiency,DOID:0050731
coenzyme Q10 deficiency disease,DOID:0050730
anus benign neoplasm,DOID:4551
ovarian carcinoma,DOID:4001
bladder carcinoma,DOID:4007
bladder urothelial carcinoma,DOID:4006
distal hereditary motor neuronopathy type 7A,DOID:0111201
distal hereditary motor neuronopathy type 5,DOID:0111203
distal hereditary motor neuronopathy type 7B,DOID:0111202
distal hereditary motor neuronopathy type 5B,DOID:0111205
distal hereditary motor neuronopathy type 5A,DOID:0111204
distal hereditary motor neuropathy type 2B,
distal hereditary motor neuronopathy type 2C,DOID:0111209
distal hereditary motor neuronopathy type 2A,DOID:0111208
lung non-squamous non-small cell carcinoma,DOID:0080521
Tn polyagglutination syndrome,DOID:0080520
adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,DOID:0080523
thyroid gland anaplastic carcinoma,DOID:0080522
differentiated thyroid gland carcinoma,DOID:0080525
thyroid gland adenocarcinoma,DOID:0080524
congenital heart block,DOID:990
hypereosinophilic syndrome,DOID:999
anovulation,DOID:3781
Coffin-Lowry syndrome,DOID:3783
Riley-Day syndrome,DOID:11589
developmental and epileptic encephalopathy 39,DOID:0080349
POEMS syndrome,DOID:14039
fissured tongue,DOID:11514
cerebral arterial disease,DOID:3527
cerebral infarction,DOID:3526
nephrotic syndrome type 11,DOID:0080385
nephrotic syndrome type 6,DOID:0080384
nephrotic syndrome type 12,DOID:0080387
nephrotic syndrome type 10,DOID:0080386
nephrotic syndrome type 13,DOID:0080381
nephrotic syndrome type 5,DOID:0080380
nephrotic syndrome type 4,DOID:0080383
gingival recession,DOID:1134
nephrotic syndrome type 8,DOID:0080389
nephrotic syndrome type 7,DOID:0080388
Charcot-Marie-Tooth disease type 1B,DOID:0110152
Charcot-Marie-Tooth disease type 1E,DOID:0110153
Charcot-Marie-Tooth disease type 1D,DOID:0110150
Charcot-Marie-Tooth disease type 1C,DOID:0110151
Charcot-Marie-Tooth disease type 2B1,DOID:0110156
Charcot-Marie-Tooth disease type 2J,DOID:0110157
Charcot-Marie-Tooth disease type 2A1,DOID:0110154
parasitic protozoa infectious disease,DOID:2789
cerebellar disease,DOID:2786
Dandy-Walker syndrome,DOID:2785
acrocephalosyndactylia,DOID:12960
Niemann-Pick disease type C1,DOID:0070113
Niemann-Pick disease type B,DOID:0070112
Niemann-Pick disease type A,DOID:0070111
Meckel syndrome 3,DOID:0070117
Meckel syndrome 2,DOID:0070116
osteogenesis imperfecta type 17,DOID:0110338
osteogenesis imperfecta type 3,DOID:0110339
osteogenesis imperfecta type 7,DOID:0110337
Meckel syndrome 5,DOID:0070119
Meckel syndrome 4,DOID:0070118
Leber congenital amaurosis 4,DOID:0110332
Leber congenital amaurosis 13,DOID:0110330
Leber congenital amaurosis 3,DOID:0110331
Bardet-Biedl syndrome 16,DOID:0110138
Bardet-Biedl syndrome 17,DOID:0110139
axonal neuropathy,DOID:7319
fibrous meningioma,DOID:7211
atypical teratoid rhabdoid tumor,DOID:2129
focal dermal hypoplasia,DOID:2120
ectodermal dysplasia,DOID:2121
Bardet-Biedl syndrome 10,DOID:0110132
Bardet-Biedl syndrome 11,DOID:0110133
optic atrophy,DOID:5723
Usher syndrome type 1,DOID:0110826
Brugada syndrome 5,DOID:0110222
hereditary spastic paraplegia 8,DOID:0110823
dental enamel hypoplasia,DOID:693
mitochondrial myopathy,DOID:699
mineral metabolism disease,DOID:0050032
systemic mastocytosis,DOID:349
uterine disease,DOID:345
peripheral vascular disease,DOID:341
chromosome 19q13.11 deletion syndrome,DOID:0060408
NFIA-related disorder,DOID:0060409
chromosome 17q12 deletion syndrome,DOID:0060404
chromosome 18q deletion syndrome,DOID:0060407
chromosome 17p13.1 deletion syndrome,DOID:0060402
chromosome 17q11.2 deletion syndrome,DOID:0060403
high myopia-sensorineural deafness syndrome,DOID:0111628
Dent disease,DOID:0050699
Brody myopathy,DOID:0050692
Brooke-Spiegler syndrome,DOID:0050693
brachyolmia,DOID:0050690
branchiooculofacial syndrome,DOID:0050691
fetal alcohol spectrum disorder,DOID:0050696
chorioamnionitis,DOID:0050697
Brown-Vialetto-Van Laere syndrome,DOID:0050694
nemaline myopathy 8,DOID:0110930
nemaline myopathy 10,DOID:0110931
nemaline myopathy 4,DOID:0110932
nemaline myopathy 11,DOID:0110933
nemaline myopathy 7,DOID:0110934
nemaline myopathy 6,DOID:0110935
nemaline myopathy 5,
autosomal dominant osteopetrosis 1,DOID:0110937
autosomal dominant osteopetrosis 2,DOID:0110938
autosomal recessive osteopetrosis 5,DOID:0110939
lichen planus,DOID:9201
Barrett's esophagus,DOID:9206
nasal cavity inverting papilloma,DOID:4633
Pick's disease,DOID:11870
facioscapulohumeral muscular dystrophy,DOID:11727
Emery-Dreifuss muscular dystrophy,DOID:11726
Cornelia de Lange syndrome,DOID:11725
limb-girdle muscular dystrophy,DOID:11724
Duchenne muscular dystrophy,DOID:11723
myotonic dystrophy type 1,DOID:11722
glycogen storage disease VII,DOID:11721
distal myopathy,DOID:11720
"autosomal dominant cerebellar ataxia, deafness and narcolepsy",DOID:0050968
spinocerebellar ataxia type 18,DOID:0050969
glioblastoma,DOID:3068
malignant astrocytoma,DOID:3069
Lyme disease,DOID:11729
cholestasis,DOID:13580
autosomal dominant cutis laxa 1,DOID:0070130
autosomal recessive cutis laxa type IB,DOID:0070133
muscular disease,DOID:0080000
autosomal recessive cutis laxa type IA,DOID:0070135
avian influenza,DOID:4492
bone disease,DOID:0080001
congenital myopathy 4A,DOID:0080102
cholangiocarcinoma,DOID:4947
gastroesophageal junction adenocarcinoma,DOID:4944
autosomal dominant cutis laxa 2,DOID:0070136
gallbladder carcinoma,DOID:4948
primary ciliary dyskinesia 37,DOID:0080266
autosomal dominant nonsyndromic deafness 71,DOID:0080267
exudative vitreoretinopathy 7,DOID:0080264
nephrotic syndrome type 14,DOID:0080265
autosomal recessive nonsyndromic deafness 107,DOID:0080262
autosomal recessive nonsyndromic deafness 108,DOID:0080263
autosomal recessive spinocerebellar ataxia 26,DOID:0080260
autosomal recessive nonsyndromic deafness 106,DOID:0080261
autosomal dominant nonsyndromic deafness 72,DOID:0080268
autosomal dominant nonsyndromic deafness 73,DOID:0080269
adrenoleukodystrophy,DOID:10588
retinitis pigmentosa,DOID:10584
Krabbe disease,DOID:10587
metachromatic leukodystrophy,DOID:10581
Refsum disease,DOID:10582
Crouzon syndrome,DOID:2339
trichohepatoenteric syndrome 1,DOID:0111415
trichohepatoenteric syndrome 2,DOID:0111416
familial chylomicronemia syndrome,DOID:0111417
exudative vitreoretinopathy 6,DOID:0111410
exudative vitreoretinopathy 4,DOID:0111411
exudative vitreoretinopathy 1,DOID:0111412
X-linked exudative vitreoretinopathy 2,DOID:0111413
familial apolipoprotein C-II deficiency,DOID:0111418
breast carcinoma in situ,DOID:8791
xerophthalmia,DOID:10138
psychosexual disorder,DOID:10132
ankylosing spondylitis,DOID:7147
Langerhans cell sarcoma,DOID:7146
rheumatoid arthritis,DOID:7148
bone development disease,DOID:0080006
dilated cardiomyopathy 1EE,DOID:0110453
molluscum contagiosum,DOID:8867
actinic keratosis,DOID:8866
dilated cardiomyopathy 1Y,DOID:0110457
