,disease_1,Compounds,Diseases,text
39,cancer,"['Atomoxetine', 'Doxorubicin', 'CETUXIMAB', 'Metoclopramide', 'Acetaminophen', 'TRASTUZUMAB', 'Bosutinib', 'Plerixafor', 'Tretinoin', 'OPORTUZUMAB MONATOX', 'Sunitinib', 'Methoxyflurane', 'Mitoguazone', 'Iniparib', 'Teniposide', 'Temsirolimus', '21H,23H-Porphine-7-propanoic acid, 13-acetyl-18-ethyl-7,8,17,18-tetrahydro-5-(2-methoxy-2-oxoethyl)-2,8,12,17-tetramethyl-3-[[(2-sulfoethyl)amino]carbonyl]-, (7S,8S,17R,18R)-', 'NIVOLUMAB', 'Melphalan', 'Pamiparib', 'AVELUMAB', 'DENILEUKIN DIFTITOX', 'Vinorelbine', 'INTERFERON ALFA-2B', 'Capmatinib', 'Vorinostat', 'Diethylstilbestrol', 'Dexamethasone', 'Lomustine', 'Melphalan flufenamide', 'Pralsetinib', 'Entrectinib', 'ASPARAGINASE', 'Gilteritinib', 'Tegafur', '(2S)-2-[[4-[(2-amino-4-oxo-8H-pteridin-6-yl)methylamino]benzoyl]amino]-5-[[(2S)-1-[[(2S)-5-carbamimidamido-1-[[(2S)-3-carboxy-1-[[(2S)-3-carboxy-1-[[(1R)-1-carboxy-2-[2-[[[(1R,9R,10S,11R,12R,19R)-12-ethyl-4-[(13S,15R,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-10,11-dihydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carbonyl]amino]carbamoyloxy]ethyldisulfanyl]ethyl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-5-oxopentanoic acid', 'Gemcitabine', 'azane;dichloroplatinum', 'Clonidine', 'Aprepitant', 'Mitobronitol', 'Fulvestrant', 'Nilutamide', '2-[(Dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol', 'Imatinib', 'BERMEKIMAB', 'OLARATUMAB', 'MOLGRAMOSTIM', 'BCG VACCINE', 'Darolutamide', 'TRASTUZUMAB EMTANSINE', 'Selpercatinib', 'Bupivacaine', 'Palonosetron', 'Abemaciclib', 'Ribociclib', 'Raltitrexed', 'PEGASPARGASE', 'Everolimus', 'INOTUZUMAB OZOGAMICIN', 'Anagrelide', 'Regorafenib', 'Osimertinib', 'Ivabradine', 'Temozolomide', 'Daunorubicin', 'Bleomycin a2', 'Interferon gamma-1b', 'Leuprorelin', 'Gefitinib', 'Testosterone', 'Glutamine', 'Enalapril', 'Chlorambucil', 'Glasdegib', 'Escitalopram', 'Cobimetinib', 'Streptozotocin', 'Sevoflurane', 'Fluorouracil', 'Relugolix', '1,1-Cyclobutanedicarboxylic acid', 'Floxuridine', 'Hydrocortisone probutate', 'Oxycodone', 'Trabectedin', 'Technetium Tc-99M sulfur colloid', 'Dexamethasone phosphate', 'Testosterone undecanoate', 'Plitidepsin', 'Venetoclax', 'TISAGENLECLEUCEL', 'PANITUMUMAB', 'DOSTARLIMAB', 'Cytarabine', 'Fentanyl citrate', 'Binimetinib', 'Olaparib', 'Cabozantinib', 'Alitretinoin', 'Remifentanil', 'Fotemustine', 'Celecoxib', 'Vinflunine', 'MOXETUMOMAB PASUDOTOX', 'ISATUXIMAB', 'PEMBROLIZUMAB', 'Dolasetron', 'OFATUMUMAB', 'Melatonin', 'Ethinyl estradiol', 'Avapritinib', 'Fenretinide', 'Pacritinib', 'Cyclophosphamide', 'Eltrombopag', 'Thymopentin', 'Thiotepa', 'Abarelix', 'Rociletinib', 'Fludarabine phosphate', 'Ifosfamide', 'Etoposide phosphate', 'Ripretinib', 'Mifamurtide hydrate', 'Busulfan', 'Cefazolin', 'Amrubicin', 'Ramosetron', 'Pipobroman', 'BELANTAMAB MAFODOTIN', 'AFLIBERCEPT', ""3,3'-[8-Ethyl-13-(1-hydroxyethyl)-3,7,12,17-tetramethylporphyrin-2,18-diyl]dipropanoic acid"", 'Olanzapine', 'Fedratinib', 'Degarelix', 'Enasidenib', 'Triptorelin', 'Tucatinib', 'Abiraterone acetate', 'Enzalutamide', 'Ceritinib', 'Efaproxiral', 'Ixabepilone', 'RAMUCIRUMAB', 'Pexidartinib', '2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane', 'Dabrafenib', 'Anlotinib', '(2S,3S)-2-[(2S,4R,5R,6R)-4-[(2R,4R,5R,6R)-5-[(2R,4S,5R,6R)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-methyloxan-2-yl]oxy-3-[(1S,3S,4R)-3,4-dihydroxy-1-methoxy-2-oxopentyl]-6-[(2S,4R,5R,6R)-4-[(2R,4R,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-methyloxan-2-yl]oxy-8,9-dihydroxy-7-methyl-3,4-dihydro-2H-anthracen-1-one', 'Methotrexate', 'PEGFILGRASTIM', 'Cesamet', 'ZINC hydrate', 'OPRELVEKIN', 'Vandetanib', 'DARATUMUMAB', 'INTERFERON ALFA', 'Decitabine', 'Tepotinib', 'mitomycin C', 'Cediranib', 'RITUXIMAB', 'Selinexor', 'RETIFANLIMAB', 'CEMIPLIMAB', 'Lenvatinib', 'BLINATUMOMAB', 'Octreotide', 'Azacitidine', 'TAFASITAMAB', 'Donepezil', 'Etoposide', 'ELOTUZUMAB', 'Propofol', 'Methadone', 'ALDESLEUKIN', 'TREMELIMUMAB', 'Entinostat', 'Clofarabine', 'TISLELIZUMAB', 'Pazopanib', 'EDRECOLOMAB', 'Adenosine', 'Pixantrone', 'Naloxone', 'Alectinib', 'Valrubicin', 'OBINUTUZUMAB', 'Dacomitinib', 'PERTUZUMAB', 'Bexarotene', 'IPILIMUMAB', 'Amsacrine', 'Zanubrutinib', 'PALIFERMIN', 'EFLAPEGRASTIM', 'Fentanyl', 'Tamoxifen', 'Pentostatin', 'NECITUMUMAB', 'Valacyclovir', 'TRASTUZUMAB DUOCARMAZINE', 'Rivaroxaban', 'INTERFERON ALFACON-1', 'Methyl aminolevulinate', 'POLYESTRADIOL PHOSPHATE', 'Nintedanib', 'GEMTUZUMAB OZOGAMICIN', 'Mthpc', 'Aminolevulinic acid', 'Ixazomib', 'Letrozole', 'Tapentadol', 'Fosaprepitant', 'TALIMOGENE LAHERPAREPVEC', 'Pirarubicin', 'Megestrol acetate', 'ROPEGINTERFERON ALFA-2B', 'BRENTUXIMAB VEDOTIN', 'Estramustine phosphate', 'Asciminib', 'Larotrectinib', 'TAGRAXOFUSP', 'DINUTUXIMAB', 'Goserelin', 'Omacetaxine mepesuccinate', 'Capecitabine', 'Paclitaxel', 'Lorlatinib', 'Anastrozole', 'Ridaforolimus', 'Treosulfan', 'Vismodegib', 'Vemurafenib', 'PEGINTERFERON ALFA-2A', 'EPOETIN BETA', 'Vinblastine', 'Masitinib', 'Apalutamide', 'Hydroxyurea', 'Fluconazole', 'Ketamine', 'Sorafenib', 'Interferon alfa-2a', 'Fosfestrol', 'Crizotinib', 'Itraconazolum [Latin]', 'Idarubicin', 'INTERFERON BETA-1A', 'TRASTUZUMAB DERUXTECAN', 'Altretamine', 'Trofosfamide', 'Tazemetostat', 'Formestane', 'Epacadostat', 'Futibatinib', 'Docetaxel', 'Abiraterone', 'ETHIODIZED OIL', 'Belinostat', 'AXICABTAGENE CILOLEUCEL', 'Ruxolitinib', 'Cabazitaxel', 'Masoprocol', 'Epirubicin', 'POLATUZUMAB VEDOTIN', 'Histamine', 'Lanreotide acetate', 'Nilotinib', 'DURVALUMAB', 'Romidepsin', 'ONARTUZUMAB', 'Histrelin', '(2R,3R,4S)-2-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(1R,2R,3R,4R)-4-[(2R,3S,4R,5R,6R)-5-acetamido-6-[(4R,5R,6R)-2-carboxy-4,5-dihydroxy-6-[[(1R,3R,4R,5R)-3-hydroxy-4-(sulfoamino)-6,8-dioxabicyclo[3.2.1]octan-2-yl]oxy]oxan-3-yl]oxy-2-(hydroxymethyl)-4-methyloxan-3-yl]oxy-6-carboxy-2,3-dihydroxycyclohexyl]oxy-4-hydroxy-2-(sulfooxymethyl)oxan-3-yl]oxy-3,4-dihydroxy-3,4-dihydro-2H-pyran-6-carboxylic acid', 'CEPEGINTERFERON ALFA-2B', 'Duvelisib', 'Dehydroepiandrosterone', 'Hydromorphone', 'Amphotericin B', 'PEGINTERFERON ALFA-2B', 'o6-Benzylguanine', 'Tranexamic acid', 'Ponatinib', 'Thioguanine', 'ENFORTUMAB VEDOTIN', 'Pemigatinib', 'Nelarabine', 'Desacetylvinblastine amide', 'Bortezomib', 'Topotecan', 'Vincristine', 'Caspofungin', 'SARGRAMOSTIM', 'Ibrutinib', 'Sotorasib', 'Dexmedetomidine', 'Afatinib', 'Flutamide', 'Oxandrolone', 'Medroxyprogesterone acetate', 'Guanine', 'Apixaban', 'Ixazomib citrate', 'Lonidamine', 'Midostaurin', 'Bicalutamide', 'Mitoxantrone', 'LENOGRASTIM', 'Dronabinol', 'Pralatrexate', 'Trametinib', 'Dactinomycin', 'Trifluridine', 'Procarbazine', 'Fluoxymesterone', 'Acyclovir', 'Semustine', 'Quizartinib', 'Mechlorethamine', 'Ondansetron', 'Carfilzomib', 'Dacarbazine', 'INTERFERON BETA', 'Morphine', 'Cladribine', 'BEVACIZUMAB', 'Carmustine', 'Levobupivacaine', 'PEGINTERFERON BETA-1A', 'Aminoglutethimide', 'Erlotinib', 'Toremifene', 'ATEZOLIZUMAB', 'Belzutifan', 'Niraparib', 'Mercaptopurine', 'Sonidegib', 'Buserelin', 'Prednicarbate', 'Uracil mustard', 'Brigatinib', 'Voreloxin', 'Axitinib', 'AMIVANTAMAB', 'MOGAMULIZUMAB', 'Belotecan', 'DARBEPOETIN ALFA', 'Mycophenolate mofetil', 'Varenicline', 'Acalabrutinib', 'Encorafenib', 'Ranimustine', 'Exemestane', 'CATUMAXOMAB', 'Cyproheptadine', 'Testosterone cypionate', 'Idelalisib', 'Granisetronum', 'Tivozanib', 'Eribulin', 'Selumetinib', 'Icotinib', '3-Imino-3H-phenothiazin-7-amine', 'Veliparib', 'Estramustine', 'ALBINTERFERON ALFA-2B', 'Ivosidenib', 'Infigratinib', 'Alpelisib', 'Etoglucid', 'Lurbinectedin', 'Triphosphoric acid', 'Arginine', 'Dasatinib', 'Thalidomide', 'FILGRASTIM', 'Erdafitinib', 'SIPULEUCEL-T', 'Interferon beta-1b', 'Mitotane', 'TASONERMIN', 'Panobinostat']","['cardiovascular system disease', 'diabetes mellitus']",What compounds treat 'cancer' and what diseases resemble 'cancer'?
40,cardiomyopathy,"['Azathioprine', 'BNP-32 (human)', 'Eplerenone', 'Amiodarone', 'Dexrazoxane', 'Prednisone', 'Enalapril']",['amyloidosis'],What compounds treat 'cardiomyopathy' and what diseases resemble 'cardiomyopathy'?
41,carpal tunnel syndrome,"['Gabapentin', 'Lidocaine', 'Betamethasone']","['polyneuropathy', 'median neuropathy', 'thoracic outlet syndrome', 'peripheral nervous system neoplasm', 'critical illness polyneuropathy', 'tarsal tunnel syndrome', 'epicondylitis', 'tendinitis', 'complex regional pain syndrome', 'nerve compression syndrome', 'radiculopathy', 'mucopolysaccharidosis II', 'mucopolysaccharidosis', 'pyridoxine deficiency anemia', 'ulnar neuropathy', 'chondrocalcinosis', 'glycoproteinosis', 'reflex sympathetic dystrophy', 'tenosynovitis', 'mucopolysaccharidosis I', 'De Quervain disease', 'motor peripheral neuropathy', 'Raynaud disease', 'mucopolysaccharidosis Ih/s', 'radial neuropathy', 'gout', 'mucopolysaccharidosis Ih']",What compounds treat 'carpal tunnel syndrome' and what diseases resemble 'carpal tunnel syndrome'?
42,central nervous system cancer,"['Carmustine', ""3,3'-[8-Ethyl-13-(1-hydroxyethyl)-3,7,12,17-tetramethylporphyrin-2,18-diyl]dipropanoic acid"", 'Methotrexate', 'Etoposide', 'Mitolactol', 'Isotretinoin', 'azane;dichloroplatinum', '1,1-Cyclobutanedicarboxylic acid', 'Temozolomide', 'Cyclophosphamide', 'Thiotepa', 'Procarbazine', 'Ifosfamide', 'Etoposide phosphate', 'Leflunomide', 'FILGRASTIM', 'Vincristine', 'Lomustine', 'Prednisone']","['cerebral primitive neuroectodermal tumor', 'intraocular lymphoma', 'cerebellum cancer', 'medulloepithelioma', 'benign ependymoma', 'myeloid sarcoma', 'embryonal cancer', 'cellular ependymoma', 'juvenile pilocytic astrocytoma', 'germ cell and embryonal cancer', 'pilocytic astrocytoma', 'hemangiopericytoma', 'medullomyoblastoma', 'protoplasmic astrocytoma', 'peripheral nervous system neoplasm', 'acute promyelocytic leukemia', 'childhood medulloblastoma', 'gliosarcoma', 'oligodendroglioma', 'malignant astrocytoma', 'hemangioblastoma', 'melanotic medulloblastoma', 'papillary ependymoma', 'childhood oligodendroglioma', 'gemistocytic astrocytoma', 'von Hippel-Lindau disease', 'neurofibromatosis 2', 'adult medulloblastoma', 'mixed oligodendroglioma-astrocytoma', 'retinal cancer', 'gliomatosis cerebri', 'anaplastic astrocytoma', 'astroblastoma', 'infratentorial cancer', 'mantle cell lymphoma', 'ganglioglioma', 'central neurocytoma', 'histiocytic sarcoma', 'spinal cancer', 'subependymal giant cell astrocytoma', 'fibrillary astrocytoma', 'childhood cerebral astrocytoma', 'neurofibromatosis', 'adult oligodendroglioma', 'embryonal tumor with multilayered rosettes, C19MC-altered', 'rhabdoid cancer', 'Burkitt lymphoma', 'myxopapillary ependymoma', 'neuroectodermal tumor', 'germinoma', 'germ cell cancer', 'medulloblastoma']",What compounds treat 'central nervous system cancer' and what diseases resemble 'central nervous system cancer'?
43,cerebellar ataxia,['Rovatirelin'],"['spontaneous ocular nystagmus', 'mitochondrial metabolism disease', 'hypogonadism', 'thalamic disease', 'ophthalmoplegia', 'dissociated nystagmus', 'primary cerebellar degeneration', 'retinal degeneration', 'partial third-nerve palsy', 'chickenpox', 'ganglioneuroma', 'olivopontocerebellar atrophy', ""Brown's tendon sheath syndrome"", 'ocular motility disease', 'hereditary spastic paraplegia', 'early myoclonic encephalopathy', 'pathologic nystagmus', 'cerebellar disease', 'cerebrotendinous xanthomatosis', 'Machado-Joseph disease', 'congenital disorder of glycosylation', 'progressive supranuclear palsy', 'myoclonic cerebellar dyssynergia', 'ataxia telangiectasia', 'Creutzfeldt-Jakob disease', 'limbic encephalitis', 'siderosis', 'aniridia', 'total third-nerve palsy', 'oculomotor nerve paralysis', 'dystonia', 'Cogan syndrome', 'autosomal dominant cerebellar ataxia', 'optic atrophy', 'mitochondrial encephalomyopathy', 'gangliocytoma', 'cerebral amyloid angiopathy', 'Gerstmann-Straussler-Scheinker syndrome', 'muscular atrophy', 'mutism', 'multiple system atrophy', 'Alexander disease', 'Friedreich ataxia', 'autoimmune disease of the nervous system', 'generalized dystonia', 'hereditary sensory and autonomic neuropathy type 2', 'apraxia', 'pyruvate decarboxylase deficiency', 'hemiplegia', 'retinitis pigmentosa', 'spinocerebellar ataxia type 4', 'Charcot-Marie-Tooth disease', 'internuclear ophthalmoplegia', 'multiple carboxylase deficiency', 'vestibular disease', 'fragile X syndrome', 'myxedema', 'infectious mononucleosis', 'migraine with aura', 'vestibular neuronitis', 'Stiff-Person syndrome', 'hereditary sensory and autonomic neuropathy type 5', 'basal ganglia disease']",What compounds treat 'cerebellar ataxia' and what diseases resemble 'cerebellar ataxia'?
44,childhood absence epilepsy,"['Lamotrigine', 'Valproic Acid', 'Ethosuximide']","['dentatorubral-pallidoluysian atrophy', 'West syndrome', 'status epilepticus', 'juvenile myoclonic epilepsy', 'epilepsy with generalized tonic-clonic seizures', 'focal epilepsy', 'early myoclonic encephalopathy', 'complex partial epilepsy', 'carbohydrate metabolic disorder', 'progressive myoclonus epilepsy 4', 'idiopathic generalized epilepsy', 'reflex epilepsy', 'benign epilepsy with centrotemporal spikes', 'progressive myoclonus epilepsy', 'frontal lobe epilepsy']",What compounds treat 'childhood absence epilepsy' and what diseases resemble 'childhood absence epilepsy'?
45,choroideremia,['TIMREPIGENE EMPARVOVEC'],"['retinoschisis', 'red color blindness', 'gyrate atrophy', 'achromatopsia', 'scotoma', 'red-green color blindness', 'acquired color blindness', 'retinal degeneration', 'night blindness', 'color blindness', 'Leber congenital amaurosis', 'blue color blindness', 'retinal perforation', 'macular holes', 'retinitis pigmentosa', 'fundus dystrophy']",What compounds treat 'choroideremia' and what diseases resemble 'choroideremia'?
46,collagen disease,['Captopril'],"['dermatomyositis', 'Ehlers-Danlos syndrome', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'Wissler-Fanconi syndrome', 'newborn respiratory distress syndrome', 'blood protein disease', 'agammaglobulinemia', 'diffuse scleroderma', 'granulomatosis with polyangiitis', 'leukocyte disease', 'rheumatic fever', 'telangiectasis', 'skin disease', 'connective tissue disease', 'polyarteritis nodosa', 'mixed connective tissue disease', 'purpura', 'localized scleroderma', 'Melnick-Needles syndrome', 'scleroderma', 'Raynaud disease', 'vascular skin disease', 'childhood type dermatomyositis', 'hypersensitivity reaction type III disease', 'aleutian mink disease', 'nephritis', 'myositis', 'scleral disease']",What compounds treat 'collagen disease' and what diseases resemble 'collagen disease'?
47,congenital afibrinogenemia,"['FIBRINOGEN, HUMAN']","['blood platelet disease', 'purpura', 'hemorrhagic disease', ""von Willebrand's disease"", 'placenta praevia', 'purpura fulminans', 'syndrome', 'protein C deficiency', 'factor VII deficiency', 'disseminated intravascular coagulation', 'factor XIII deficiency', 'Shwartzman phenomenon', 'factor V deficiency']",What compounds treat 'congenital afibrinogenemia' and what diseases resemble 'congenital afibrinogenemia'?
48,cystinosis,"['DL-Tartaric acid', 'Cysteamine']","['distal myopathy', 'glycoproteinosis', 'tibial muscular dystrophy', 'nephrogenic diabetes insipidus', 'renal osteodystrophy', 'Fanconi syndrome', 'amino acid metabolic disorder', 'Bartter disease', 'Wilson disease', 'rickets', 'renal tubular acidosis', 'cystinuria']",What compounds treat 'cystinosis' and what diseases resemble 'cystinosis'?
49,cystinuria,['Penicillamine'],"['Hartnup disease', 'gyrate atrophy', 'Dent disease', 'Fanconi syndrome', 'alkaptonuria', 'renal tubular transport disease', 'inherited metabolic disorder', 'amino acid metabolic disorder', 'bladder calculus', 'urolithiasis', 'rickets', 'renal tubular acidosis', 'maple syrup urine disease', 'primary hyperoxaluria', 'phenylketonuria', 'homocystinuria', 'cystinosis']",What compounds treat 'cystinuria' and what diseases resemble 'cystinuria'?
50,disorder of sexual development,['Testosterone'],"['WAGR syndrome', 'embryonal cancer', 'familial male-limited precocious puberty', 'adrenal gland disease', 'germ cell and embryonal cancer', 'central precocious puberty', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', '46,XY sex reversal', 'seminoma', '46 XX gonadal dysgenesis', 'nephroblastoma', 'gonadoblastoma', 'gonadal dysgenesis', 'freemartinism', 'gynecomastia', 'testis seminoma', 'campomelic dysplasia', 'endocrine system disease', 'adrenal cortex disease', 'androgen insensitivity syndrome', 'Turner syndrome', 'adrenal gland hyperfunction', 'dysgerminoma', 'Leydig cell tumor', 'testicular disease', 'hypospadias', 'complete androgen insensitivity syndrome', 'Sertoli cell tumor', 'steroid inherited metabolic disorder', 'Melnick-Needles syndrome', 'Denys-Drash syndrome', 'germ cell cancer', 'hypertrichosis', 'luteoma', 'mixed gonadal dysgenesis', 'infant gynecomastia', 'eunuchism', 'amenorrhea', 'hyperandrogenism', 'Sertoli-Leydig cell tumor']",What compounds treat 'disorder of sexual development' and what diseases resemble 'disorder of sexual development'?
51,dystonia,['INCOBOTULINUMTOXINA'],"['cerebellar ataxia', 'neuroacanthocytosis', 'striatonigral degeneration', 'Gilles de la Tourette syndrome', 'benign familial neonatal epilepsy', 'thalamic disease', 'fucosidosis', 'iron metabolism disease', 'ocular motility disease', 'olivopontocerebellar atrophy', ""Brown's tendon sheath syndrome"", 'hereditary spastic paraplegia', 'homocystinuria', 'cerebellar disease', 'benign neonatal seizures', 'tic disorder', 'Machado-Joseph disease', 'Leigh disease', 'progressive supranuclear palsy', 'pantothenate kinase-associated neurodegeneration', 'complex regional pain syndrome', 'choreaacanthocytosis', 'basal ganglia disease', 'Lesch-Nyhan syndrome', 'Wilson disease', 'Leber hereditary optic neuropathy', 'autosomal dominant cerebellar ataxia', 'optic atrophy', 'tongue disease', 'central pontine myelinolysis', 'laryngeal disease', 'transient tic disorder', 'multiple system atrophy', 'partial motor epilepsy', 'hemiplegia', 'spinocerebellar ataxia type 4', 'reflex sympathetic dystrophy', 'polymicrogyria', 'internuclear ophthalmoplegia', 'causalgia', 'GM1 gangliosidosis', 'pseudobulbar palsy', 'chronic tic disorder', 'postencephalitic Parkinson disease', 'Meige syndrome', 'secondary Parkinson disease', 'lingual-facial-buccal dyskinesia', 'neuroaxonal dystrophy', 'ataxia telangiectasia']",What compounds treat 'dystonia' and what diseases resemble 'dystonia'?
52,encephalitis,"['GLOBULIN, IMMUNE', 'Valacyclovir']","['Guillain-Barre syndrome', 'COVID-19']",What compounds treat 'encephalitis' and what diseases resemble 'encephalitis'?
53,epidermolysis bullosa,['Erythromycin'],"['intestinal atresia', 'pemphigus', 'dermatitis herpetiformis', 'autosomal recessive congenital ichthyosis', 'cicatricial pemphigoid', 'Clouston syndrome', 'photosensitivity disease', 'Stevens-Johnson syndrome', 'laryngostenosis', 'dental enamel hypoplasia', 'Rothmund-Thomson syndrome', 'vesiculobullous skin disease', 'gastric outlet obstruction', 'junctional epidermolysis bullosa', 'amelogenesis imperfecta', 'ichthyosis', 'porphyria', 'acrodermatitis', 'skin disease', 'subcorneal pustular dermatosis', 'nail disease', 'ectodermal dysplasia', 'bullous pemphigoid', 'erythema multiforme', 'epidermolysis bullosa acquisita', 'epidermolysis bullosa simplex', 'pemphigus foliaceus', 'esophageal disease', 'syndactyly', 'pemphigus vulgaris', 'epidermolysis bullosa dystrophica', 'leg dermatosis']",What compounds treat 'epidermolysis bullosa' and what diseases resemble 'epidermolysis bullosa'?
54,epidermolysis bullosa dystrophica,"['BEREMAGENE GEPERPAVEC', 'PRADEMAGENE ZAMIKERACEL', 'DABOCEMAGENE AUTOFICEL']","['syndactyly', 'Rothmund-Thomson syndrome', 'epidermolysis bullosa', 'junctional epidermolysis bullosa', 'ectodermal dysplasia', 'leg dermatosis', 'epidermolysis bullosa acquisita', 'xanthomatosis', 'epidermolysis bullosa simplex', 'hand dermatosis', 'Clouston syndrome']",What compounds treat 'epidermolysis bullosa dystrophica' and what diseases resemble 'epidermolysis bullosa dystrophica'?
55,facioscapulohumeral muscular dystrophy,['Losmapimod'],"['scapuloperoneal spinal muscular atrophy', 'limb-girdle muscular dystrophy', 'Charcot-Marie-Tooth disease', 'myotonic dystrophy type 1', 'Duchenne muscular dystrophy', 'Coats disease', 'choanal atresia', 'amyotrophic neuralgia', 'Emery-Dreifuss muscular dystrophy', 'spinal muscular atrophy', 'brachial plexus neuritis', 'hereditary sensory and autonomic neuropathy type 2', 'progressive muscular atrophy', 'microphthalmia']",What compounds treat 'facioscapulohumeral muscular dystrophy' and what diseases resemble 'facioscapulohumeral muscular dystrophy'?
56,factor XIII deficiency,['CATRIDECACOG'],"['congenital afibrinogenemia', ""von Willebrand's disease"", 'Henoch-Schoenlein purpura', 'factor VII deficiency', 'factor V deficiency']",What compounds treat 'factor XIII deficiency' and what diseases resemble 'factor XIII deficiency'?
57,familial Mediterranean fever,"['ANAKINRA', 'Colchicine', 'CANAKINUMAB']","['retinal vasculitis', 'pericarditis', 'erysipelas', 'spondyloarthropathy', 'pleurisy', 'hydrarthrosis', ""Behcet's disease"", 'lymphadenitis', 'Henoch-Schoenlein purpura', 'synovitis', 'aphthous stomatitis', 'mevalonic aciduria', 'polyarteritis nodosa', 'familial periodic paralysis', 'pharyngitis', 'Plica syndrome', 'Muckle-Wells syndrome']",What compounds treat 'familial Mediterranean fever' and what diseases resemble 'familial Mediterranean fever'?
58,familial adenomatous polyposis,"['soybean oil', 'Aspirin', 'Celecoxib', 'Icosapent', 'Propofol', 'Sulindac', 'Calcitriol', 'Eflornithine']","['Lynch syndrome', 'hereditary breast ovarian cancer syndrome', 'benign ileal neoplasm', 'fibroma', 'medullomyoblastoma', 'childhood medulloblastoma', 'papillary adenocarcinoma', 'melanotic medulloblastoma', 'Li-Fraumeni syndrome', 'adult medulloblastoma', 'Peutz-Jeghers syndrome', 'steatocystoma multiplex', 'common bile duct neoplasm', 'Cowden syndrome', 'duodenal benign neoplasm', 'sex cord-gonadal stromal tumor', 'duodenum cancer', 'Bannayan-Riley-Ruvalcaba syndrome', 'hepatoblastoma', 'jejunal cancer', 'jejunal neoplasm', 'medulloblastoma']",What compounds treat 'familial adenomatous polyposis' and what diseases resemble 'familial adenomatous polyposis'?
59,familial hyperlipidemia,"['BOCOCIZUMAB', 'Rosuvastatin', 'ONGERICIMAB', 'Fenofibrate', 'Evacetrapib', 'Nicotinic acid', 'Bempedoic acid', 'Pantethine', 'Pravastatin', 'Pitavastatin', 'EVOLOCUMAB', 'Simvastatin', 'Probucol', 'PELACARSEN', 'Ezetimibe', 'K-877', 'coenzyme A', 'Topiramate', 'Torcetrapib', 'Laropiprant', 'Atorvastatin']","['familial apolipoprotein C-II deficiency', 'familial lipoprotein lipase deficiency', 'familial hypercholesterolemia', 'hyperlipoproteinemia type III', 'hyperinsulinism', 'Tangier disease', 'hypolipoproteinemia', 'hyperlipoproteinemia type IV', 'familial combined hyperlipidemia', 'arcus senilis', 'xanthomatosis']",What compounds treat 'familial hyperlipidemia' and what diseases resemble 'familial hyperlipidemia'?
60,familial male-limited precocious puberty,"['Histrelin', 'Leuprorelin', 'Triptorelin']","['embryonal cancer', 'adrenal gland disease', 'hypogonadism', 'Froelich syndrome', 'McCune Albright syndrome', 'germ cell and embryonal cancer', 'hypopituitarism', 'neurofibromatosis 1', 'congenital hypothyroidism', 'primary hyperaldosteronism', 'hypothalamic disease', 'gonadoblastoma', 'myelomeningocele', 'Sheehan syndrome', 'papillary craniopharyngioma', 'osteitis fibrosa', 'gynecomastia', 'adrenal cortex cancer', 'Klinefelter syndrome', 'ovarian disease', 'hypothalamic neoplasm', 'endocrine system disease', 'adrenal cortex disease', 'Prader-Willi syndrome', 'empty sella syndrome', 'Turner syndrome', 'dysgerminoma', 'Leydig cell tumor', 'adrenal gland hyperfunction', 'sex cord-gonadal stromal tumor', 'bone inflammation disease', 'granulosa cell tumor', 'Sertoli cell tumor', 'pineal gland cancer', 'hyperprolactinemia', 'cerebral ventricle cancer', 'hypertrichosis', 'germ cell cancer', 'luteoma', 'adrenal rest tumor', 'disorder of sexual development', 'hermaphroditism', 'pineoblastoma', 'Sertoli-Leydig cell tumor', 'Williams-Beuren syndrome', 'pseudohermaphroditism', 'adamantinous craniopharyngioma', 'infant gynecomastia', 'germinoma', 'amenorrhea', 'hyperandrogenism', 'craniopharyngioma']",What compounds treat 'familial male-limited precocious puberty' and what diseases resemble 'familial male-limited precocious puberty'?
61,fatty liver disease,"['Saroglitazar', 'Rimonabant', 'Metformin', 'Dapagliflozin', 'Pioglitazone', 'Alpha-Tocopherol']","['drug-induced hepatitis', 'hemolytic anemia', 'alcoholic liver cirrhosis']",What compounds treat 'fatty liver disease' and what diseases resemble 'fatty liver disease'?
